Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
12/21/2021 00:00,CAPITL,61757,109.43,1.28,-91.25
12/21/2021 00:00,CENTRL,61754,23.19,0.37,-5.92
12/21/2021 00:00,DUNWOD,61760,85.69,1.32,-67.47
12/21/2021 00:00,GENESE,61753,21.63,0.25,-4.47
12/21/2021 00:00,H Q,61844,16.36,-0.54,0.00
12/21/2021 00:00,HUD VL,61758,81.17,1.12,-63.15
12/21/2021 00:00,LONGIL,61762,86.35,1.91,-67.54
12/21/2021 00:00,MHK VL,61756,26.54,0.59,-9.05
12/21/2021 00:00,MILLWD,61759,85.77,1.30,-67.56
12/21/2021 00:00,N.Y.C.,61761,85.76,1.35,-67.51
12/21/2021 00:00,NORTH,61755,16.04,-0.86,0.00
12/21/2021 00:00,NPX,61845,98.53,1.20,-80.43
12/21/2021 00:00,O H,61846,22.67,-0.12,-5.88
12/21/2021 00:00,PJM,61847,53.93,0.52,-36.50
12/21/2021 00:00,WEST,61752,23.48,0.30,-6.28
12/21/2021 01:00,CAPITL,61757,93.64,1.21,-76.74
12/21/2021 01:00,CENTRL,61754,20.95,0.28,-4.98
12/21/2021 01:00,DUNWOD,61760,73.60,1.16,-56.75
12/21/2021 01:00,GENESE,61753,19.58,0.12,-3.76
12/21/2021 01:00,H Q,61844,15.22,-0.47,0.00
12/21/2021 01:00,HUD VL,61758,69.81,1.01,-53.11
12/21/2021 01:00,LONGIL,61762,74.21,1.73,-56.79
12/21/2021 01:00,MHK VL,61756,23.82,0.52,-7.61
12/21/2021 01:00,MILLWD,61759,73.66,1.14,-56.82
12/21/2021 01:00,N.Y.C.,61761,73.67,1.21,-56.78
12/21/2021 01:00,NORTH,61755,14.89,-0.80,0.00
12/21/2021 01:00,NPX,61845,84.43,1.10,-67.64
12/21/2021 01:00,O H,61846,20.48,-0.16,-4.95
12/21/2021 01:00,PJM,61847,46.83,0.44,-30.70
12/21/2021 01:00,WEST,61752,21.19,0.22,-5.28
12/21/2021 02:00,CAPITL,61757,90.50,1.37,-71.15
12/21/2021 02:00,CENTRL,61754,22.88,0.31,-4.59
12/21/2021 02:00,DUNWOD,61760,71.64,1.33,-52.32
12/21/2021 02:00,GENESE,61753,21.59,0.14,-3.47
12/21/2021 02:00,H Q,61844,15.22,-0.54,2.22
12/21/2021 02:00,HUD VL,61758,68.11,1.15,-48.97
12/21/2021 02:00,LONGIL,61762,72.37,2.00,-52.39
12/21/2021 02:00,MHK VL,61756,24.70,0.58,-6.14
12/21/2021 02:00,MILLWD,61759,71.69,1.31,-52.39
12/21/2021 02:00,N.Y.C.,61761,71.70,1.37,-52.35
12/21/2021 02:00,NORTH,61755,8.15,-0.92,8.91
12/21/2021 02:00,NPX,61845,81.63,1.28,-62.37
12/21/2021 02:00,O H,61846,22.38,-0.16,-4.56
12/21/2021 02:00,PJM,61847,46.81,0.52,-28.31
12/21/2021 02:00,WEST,61752,23.12,0.27,-4.87
12/21/2021 03:00,CAPITL,61757,95.29,1.43,-75.23
12/21/2021 03:00,CENTRL,61754,23.77,0.30,-4.85
12/21/2021 03:00,DUNWOD,61760,75.26,1.38,-55.26
12/21/2021 03:00,GENESE,61753,22.40,0.11,-3.66
12/21/2021 03:00,H Q,61844,15.22,-0.54,2.87
12/21/2021 03:00,HUD VL,61758,71.54,1.19,-51.72
12/21/2021 03:00,LONGIL,61762,75.90,1.97,-55.30
12/21/2021 03:00,MHK VL,61756,25.50,0.60,-6.28
12/21/2021 03:00,MILLWD,61759,75.34,1.38,-55.34
12/21/2021 03:00,N.Y.C.,61761,75.33,1.41,-55.29
12/21/2021 03:00,NORTH,61755,6.17,-0.97,11.48
12/21/2021 03:00,NPX,61845,85.80,1.30,-65.87
12/21/2021 03:00,O H,61846,23.20,-0.24,-4.82
12/21/2021 03:00,PJM,61847,49.04,0.52,-29.90
12/21/2021 03:00,WEST,61752,23.99,0.22,-5.14
12/21/2021 04:00,CAPITL,61757,91.48,1.49,-70.93
12/21/2021 04:00,CENTRL,61754,24.01,0.38,-4.57
12/21/2021 04:00,DUNWOD,61760,72.52,1.39,-52.07
12/21/2021 04:00,GENESE,61753,22.80,0.29,-3.45
12/21/2021 04:00,H Q,61844,15.51,-0.59,2.96
12/21/2021 04:00,HUD VL,61758,69.00,1.20,-48.73
12/21/2021 04:00,LONGIL,61762,73.27,2.10,-52.11
12/21/2021 04:00,MHK VL,61756,25.49,0.61,-5.81
12/21/2021 04:00,MILLWD,61759,72.53,1.33,-52.14
12/21/2021 04:00,N.Y.C.,61761,72.59,1.43,-52.09
12/21/2021 04:00,NORTH,61755,6.22,-0.97,11.87
12/21/2021 04:00,NPX,61845,82.50,1.37,-62.06
12/21/2021 04:00,O H,61846,23.49,-0.11,-4.54
12/21/2021 04:00,PJM,61847,47.80,0.57,-28.17
12/21/2021 04:00,WEST,61752,24.27,0.36,-4.85
12/21/2021 05:00,CAPITL,61757,92.43,2.43,-60.72
12/21/2021 05:00,CENTRL,61754,33.76,0.59,-3.88
12/21/2021 05:00,DUNWOD,61760,75.82,2.29,-44.24
12/21/2021 05:00,GENESE,61753,32.57,0.35,-2.93
12/21/2021 05:00,H Q,61844,23.29,-0.91,5.09
12/21/2021 05:00,HUD VL,61758,72.66,1.96,-41.41
12/21/2021 05:00,LONGIL,61762,84.03,3.37,-51.37
12/21/2021 05:00,MHK VL,61756,34.21,1.00,-3.93
12/21/2021 05:00,MILLWD,61759,75.79,2.20,-44.30
12/21/2021 05:00,N.Y.C.,61761,75.84,2.29,-44.27
12/21/2021 05:00,NORTH,61755,7.42,-1.46,20.41
12/21/2021 05:00,NPX,61845,84.23,2.20,-52.74
12/21/2021 05:00,O H,61846,33.00,-0.15,-3.86
12/21/2021 05:00,PJM,61847,54.19,0.97,-23.94
12/21/2021 05:00,WEST,61752,34.14,0.73,-4.12
12/21/2021 06:00,CAPITL,61757,101.15,3.04,-61.50
12/21/2021 06:00,CENTRL,61754,41.35,0.80,-3.93
12/21/2021 06:00,DUNWOD,61760,84.34,3.18,-44.54
12/21/2021 06:00,GENESE,61753,39.91,0.33,-2.96
12/21/2021 06:00,H Q,61844,28.69,-1.14,6.79
