Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
12/09/2021 00:00,CAPITL,61757,59.57,2.62,-22.04
12/09/2021 00:00,CENTRL,61754,37.88,0.31,-2.66
12/09/2021 00:00,DUNWOD,61760,53.84,3.39,-15.54
12/09/2021 00:00,GENESE,61753,36.73,-0.21,-2.02
12/09/2021 00:00,H Q,61844,34.01,-0.91,0.00
12/09/2021 00:00,HUD VL,61758,53.28,3.07,-15.30
12/09/2021 00:00,LONGIL,61762,78.68,4.47,-39.29
12/09/2021 00:00,MHK VL,61756,39.54,1.40,-3.23
12/09/2021 00:00,MILLWD,61759,53.85,3.32,-15.62
12/09/2021 00:00,N.Y.C.,61761,54.02,3.56,-15.55
12/09/2021 00:00,NORTH,61755,34.25,-0.66,0.00
12/09/2021 00:00,NPX,61845,78.82,2.83,-41.08
12/09/2021 00:00,O H,61846,36.54,-1.01,-2.64
12/09/2021 00:00,PJM,61847,45.85,1.29,-9.65
12/09/2021 00:00,WEST,61752,37.67,-0.03,-2.79
12/09/2021 01:00,CAPITL,61757,57.07,2.38,-21.64
12/09/2021 01:00,CENTRL,61754,35.79,0.13,-2.61
12/09/2021 01:00,DUNWOD,61760,51.51,3.20,-15.26
12/09/2021 01:00,GENESE,61753,34.50,-0.53,-1.98
12/09/2021 01:00,H Q,61844,32.32,-0.73,0.00
12/09/2021 01:00,HUD VL,61758,50.94,2.87,-15.02
12/09/2021 01:00,LONGIL,61762,69.13,4.20,-31.88
12/09/2021 01:00,MHK VL,61756,37.41,1.19,-3.17
12/09/2021 01:00,MILLWD,61759,51.53,3.14,-15.34
12/09/2021 01:00,N.Y.C.,61761,51.65,3.34,-15.27
12/09/2021 01:00,NORTH,61755,32.58,-0.46,0.00
12/09/2021 01:00,NPX,61845,69.23,2.61,-33.57
12/09/2021 01:00,O H,61846,34.22,-1.42,-2.60
12/09/2021 01:00,PJM,61847,43.58,1.06,-9.47
12/09/2021 01:00,WEST,61752,35.23,-0.56,-2.74
12/09/2021 02:00,CAPITL,61757,55.24,2.39,-19.69
12/09/2021 02:00,CENTRL,61754,35.74,0.20,-2.37
12/09/2021 02:00,DUNWOD,61760,50.29,3.25,-13.88
12/09/2021 02:00,GENESE,61753,34.57,-0.40,-1.81
12/09/2021 02:00,H Q,61844,32.40,-0.76,0.00
12/09/2021 02:00,HUD VL,61758,49.75,2.92,-13.66
12/09/2021 02:00,LONGIL,61762,68.52,4.28,-31.08
