Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
01/28/2022 00:00,CAPITL,61757,178.48,2.66,-141.70
01/28/2022 00:00,CENTRL,61754,51.67,0.24,-17.31
01/28/2022 00:00,DUNWOD,61760,139.20,3.28,-101.80
01/28/2022 00:00,GENESE,61753,46.97,-0.44,-13.30
01/28/2022 00:00,H Q,61844,33.23,-0.89,0.00
01/28/2022 00:00,HUD VL,61758,137.29,2.93,-100.24
01/28/2022 00:00,LONGIL,61762,140.34,4.33,-101.88
01/28/2022 00:00,MHK VL,61756,56.79,1.37,-21.30
01/28/2022 00:00,MILLWD,61759,139.89,3.21,-102.56
01/28/2022 00:00,N.Y.C.,61761,139.47,3.48,-101.86
01/28/2022 00:00,NORTH,61755,33.03,-1.09,0.00
01/28/2022 00:00,NPX,61845,156.20,2.76,-119.32
01/28/2022 00:00,O H,61846,49.05,-1.16,-16.09
01/28/2022 00:00,PJM,61847,89.10,0.99,-53.99
01/28/2022 00:00,WEST,61752,50.90,-0.55,-17.32
01/28/2022 01:00,CAPITL,61757,166.76,2.68,-129.76
01/28/2022 01:00,CENTRL,61754,50.31,0.14,-15.85
01/28/2022 01:00,DUNWOD,61760,130.70,3.16,-93.22
01/28/2022 01:00,GENESE,61753,45.91,-0.58,-12.18
01/28/2022 01:00,H Q,61844,33.43,-0.89,0.00
01/28/2022 01:00,HUD VL,61758,128.96,2.85,-91.79
01/28/2022 01:00,LONGIL,61762,131.87,4.25,-93.30
01/28/2022 01:00,MHK VL,61756,55.16,1.34,-19.51
01/28/2022 01:00,MILLWD,61759,131.36,3.12,-93.92
01/28/2022 01:00,N.Y.C.,61761,131.00,3.40,-93.28
01/28/2022 01:00,NORTH,61755,33.29,-1.03,0.00
01/28/2022 01:00,NPX,61845,146.33,2.75,-109.26
01/28/2022 01:00,O H,61846,47.78,-1.27,-14.73
01/28/2022 01:00,PJM,61847,84.32,0.89,-49.11
01/28/2022 01:00,WEST,61752,49.50,-0.69,-15.86
01/28/2022 02:00,CAPITL,61757,160.75,2.61,-124.65
01/28/2022 02:00,CENTRL,61754,48.88,0.17,-15.23
01/28/2022 02:00,DUNWOD,61760,126.09,3.05,-89.55
01/28/2022 02:00,GENESE,61753,44.62,-0.57,-11.70
01/28/2022 02:00,H Q,61844,32.62,-0.87,0.00
