Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
01/16/2022 00:00,CAPITL,61757,149.82,11.61,0.00
01/16/2022 00:00,CENTRL,61754,136.69,-1.52,0.00
01/16/2022 00:00,DUNWOD,61760,148.29,10.08,0.00
01/16/2022 00:00,GENESE,61753,131.17,-7.04,0.00
01/16/2022 00:00,H Q,61844,136.96,-1.25,0.00
01/16/2022 00:00,HUD VL,61758,147.47,9.26,0.00
01/16/2022 00:00,LONGIL,61762,150.51,12.30,0.00
01/16/2022 00:00,MHK VL,61756,144.01,5.80,0.00
01/16/2022 00:00,MILLWD,61759,148.58,10.37,0.00
01/16/2022 00:00,N.Y.C.,61761,148.85,10.64,0.00
01/16/2022 00:00,NORTH,61755,139.59,1.38,0.00
01/16/2022 00:00,NPX,61845,147.88,9.67,0.00
01/16/2022 00:00,O H,61846,125.36,-12.85,0.00
01/16/2022 00:00,PJM,61847,117.63,-0.41,20.17
01/16/2022 00:00,WEST,61752,128.53,-9.68,0.00
01/16/2022 01:00,CAPITL,61757,134.92,10.46,0.00
01/16/2022 01:00,CENTRL,61754,122.84,-1.62,0.00
01/16/2022 01:00,DUNWOD,61760,133.54,9.08,0.00
01/16/2022 01:00,GENESE,61753,117.98,-6.48,0.00
01/16/2022 01:00,H Q,61844,123.34,-1.12,0.00
01/16/2022 01:00,HUD VL,61758,132.93,8.47,0.00
01/16/2022 01:00,LONGIL,61762,136.67,12.20,0.00
01/16/2022 01:00,MHK VL,61756,129.69,5.23,0.00
01/16/2022 01:00,MILLWD,61759,133.92,9.45,0.00
01/16/2022 01:00,N.Y.C.,61761,133.80,9.34,0.00
01/16/2022 01:00,NORTH,61755,125.83,1.37,0.00
01/16/2022 01:00,NPX,61845,133.70,8.71,-0.53
01/16/2022 01:00,O H,61846,112.89,-11.57,0.00
01/16/2022 01:00,PJM,61847,101.90,-0.37,22.19
01/16/2022 01:00,WEST,61752,115.75,-8.72,0.00
01/16/2022 02:00,CAPITL,61757,124.46,9.65,0.00
01/16/2022 02:00,CENTRL,61754,113.44,-1.37,0.00
01/16/2022 02:00,DUNWOD,61760,123.09,8.27,0.00
01/16/2022 02:00,GENESE,61753,108.73,-6.09,0.00
01/16/2022 02:00,H Q,61844,113.78,-1.04,0.00
01/16/2022 02:00,HUD VL,61758,122.51,7.69,0.00
01/16/2022 02:00,LONGIL,61762,126.53,11.72,0.00
01/16/2022 02:00,MHK VL,61756,119.64,4.82,0.00
01/16/2022 02:00,MILLWD,61759,123.43,8.62,0.00
01/16/2022 02:00,N.Y.C.,61761,123.43,8.62,0.00
01/16/2022 02:00,NORTH,61755,115.96,1.15,0.00
01/16/2022 02:00,NPX,61845,129.20,8.03,-6.35
01/16/2022 02:00,O H,61846,104.02,-10.80,0.00
01/16/2022 02:00,PJM,61847,99.90,-0.34,14.57
01/16/2022 02:00,WEST,61752,106.67,-8.15,0.00
01/16/2022 03:00,CAPITL,61757,122.24,9.27,0.00
01/16/2022 03:00,CENTRL,61754,111.40,-1.58,0.00
01/16/2022 03:00,DUNWOD,61760,121.00,8.02,0.00
01/16/2022 03:00,GENESE,61753,106.76,-6.21,0.00
01/16/2022 03:00,H Q,61844,112.19,-0.79,0.00
01/16/2022 03:00,HUD VL,61758,120.43,7.45,0.00
01/16/2022 03:00,LONGIL,61762,124.16,11.19,0.00
01/16/2022 03:00,MHK VL,61756,117.61,4.63,0.00
01/16/2022 03:00,MILLWD,61759,121.34,8.36,0.00
01/16/2022 03:00,N.Y.C.,61761,121.22,8.24,0.00
01/16/2022 03:00,NORTH,61755,114.44,1.46,0.00
01/16/2022 03:00,NPX,61845,128.40,7.79,-7.63
01/16/2022 03:00,O H,61846,102.02,-10.96,0.00
01/16/2022 03:00,PJM,61847,96.57,-0.56,15.85
01/16/2022 03:00,WEST,61752,104.50,-8.48,0.00
01/16/2022 04:00,CAPITL,61757,134.67,10.09,0.00
01/16/2022 04:00,CENTRL,61754,122.72,-1.87,0.00
01/16/2022 04:00,DUNWOD,61760,132.56,7.98,0.00
01/16/2022 04:00,GENESE,61753,117.85,-6.73,0.00
01/16/2022 04:00,H Q,61844,124.09,-0.50,0.00
01/16/2022 04:00,HUD VL,61758,132.06,7.47,0.00
01/16/2022 04:00,LONGIL,61762,135.17,10.58,0.00
01/16/2022 04:00,MHK VL,61756,129.57,4.99,0.00
01/16/2022 04:00,MILLWD,61759,132.68,8.09,0.00
01/16/2022 04:00,N.Y.C.,61761,132.68,8.09,0.00
01/16/2022 04:00,NORTH,61755,126.57,1.99,0.00
01/16/2022 04:00,NPX,61845,132.56,7.98,0.00
01/16/2022 04:00,O H,61846,112.74,-11.84,0.00
01/16/2022 04:00,PJM,61847,97.30,-1.00,26.28
01/16/2022 04:00,WEST,61752,115.61,-8.97,0.00
01/16/2022 05:00,CAPITL,61757,143.38,10.12,0.00
01/16/2022 05:00,CENTRL,61754,131.26,-2.00,0.00
01/16/2022 05:00,DUNWOD,61760,140.71,7.46,0.00
01/16/2022 05:00,GENESE,61753,126.06,-7.20,0.00
01/16/2022 05:00,H Q,61844,133.12,-0.13,0.00
01/16/2022 05:00,HUD VL,61758,140.18,6.92,0.00
01/16/2022 05:00,LONGIL,61762,142.98,9.72,0.00
01/16/2022 05:00,MHK VL,61756,138.45,5.19,0.00
01/16/2022 05:00,MILLWD,61759,140.85,7.59,0.00
01/16/2022 05:00,N.Y.C.,61761,140.45,7.19,0.00
01/16/2022 05:00,NORTH,61755,135.92,2.66,0.00
01/16/2022 05:00,NPX,61845,140.98,7.73,0.00
01/16/2022 05:00,O H,61846,120.73,-12.53,0.00
01/16/2022 05:00,PJM,61847,99.07,-1.74,32.45
01/16/2022 05:00,WEST,61752,123.66,-9.60,0.00
01/16/2022 06:00,CAPITL,61757,160.81,10.66,0.00
01/16/2022 06:00,CENTRL,61754,149.11,-1.04,0.00
01/16/2022 06:00,DUNWOD,61760,157.21,7.06,0.00
01/16/2022 06:00,GENESE,61753,145.04,-5.11,0.00
01/16/2022 06:00,H Q,61844,150.15,0.00,0.00
01/16/2022 06:00,HUD VL,61758,156.91,6.76,0.00
01/16/2022 06:00,LONGIL,61762,157.65,7.50,0.00
01/16/2022 06:00,MHK VL,61756,156.16,6.01,0.00
01/16/2022 06:00,MILLWD,61759,157.51,7.36,0.00
01/16/2022 06:00,N.Y.C.,61761,156.75,6.60,0.00
01/16/2022 06:00,NORTH,61755,153.15,3.00,0.00
01/16/2022 06:00,NPX,61845,157.36,7.21,0.00
01/16/2022 06:00,O H,61846,74.94,-10.22,64.99
01/16/2022 06:00,PJM,61847,105.14,-1.21,43.80
01/16/2022 06:00,WEST,61752,143.25,-6.90,0.00
01/16/2022 07:00,CAPITL,61757,169.09,11.50,0.00
01/16/2022 07:00,CENTRL,61754,155.23,-2.36,0.00
01/16/2022 07:00,DUNWOD,61760,166.25,8.66,0.00
01/16/2022 07:00,GENESE,61753,149.08,-8.51,0.00
01/16/2022 07:00,H Q,61844,157.75,0.16,0.00
01/16/2022 07:00,HUD VL,61758,165.62,8.03,0.00
01/16/2022 07:00,LONGIL,61762,165.31,7.72,0.00
01/16/2022 07:00,MHK VL,61756,163.90,6.31,0.00
01/16/2022 07:00,MILLWD,61759,166.57,8.98,0.00
01/16/2022 07:00,N.Y.C.,61761,166.09,8.50,0.00
01/16/2022 07:00,NORTH,61755,161.05,3.46,0.00
01/16/2022 07:00,NPX,61845,166.25,8.66,0.00
01/16/2022 07:00,O H,61846,80.00,-16.08,61.51
01/16/2022 07:00,PJM,61847,113.26,-2.36,41.97
01/16/2022 07:00,WEST,61752,145.46,-12.13,0.00
01/16/2022 08:00,CAPITL,61757,176.61,12.01,0.00
01/16/2022 08:00,CENTRL,61754,162.30,-2.30,0.00
01/16/2022 08:00,DUNWOD,61760,173.49,8.88,0.00
01/16/2022 08:00,GENESE,61753,155.71,-8.89,0.00
01/16/2022 08:00,H Q,61844,164.93,0.33,0.00
01/16/2022 08:00,HUD VL,61758,172.99,8.39,0.00
