Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
01/11/2022 00:00,CAPITL,61757,188.51,2.68,-153.49
01/11/2022 00:00,CENTRL,61754,50.88,0.10,-18.44
01/11/2022 00:00,DUNWOD,61760,146.11,2.91,-110.85
01/11/2022 00:00,GENESE,61753,46.11,-0.58,-14.35
01/11/2022 00:00,H Q,61844,31.66,-0.68,0.00
01/11/2022 00:00,HUD VL,61758,144.08,2.52,-109.21
01/11/2022 00:00,LONGIL,61762,146.68,3.36,-110.97
01/11/2022 00:00,MHK VL,61756,56.78,1.26,-23.18
01/11/2022 00:00,MILLWD,61759,146.82,2.78,-111.69
01/11/2022 00:00,N.Y.C.,61761,146.37,3.07,-110.95
01/11/2022 00:00,NORTH,61755,32.12,-0.22,0.00
01/11/2022 00:00,NPX,61845,164.89,2.52,-130.02
01/11/2022 00:00,O H,61846,47.95,-1.62,-17.22
01/11/2022 00:00,PJM,61847,101.61,0.74,-68.52
01/11/2022 00:00,WEST,61752,50.44,-0.71,-18.81
01/11/2022 01:00,CAPITL,61757,182.93,2.65,-148.28
01/11/2022 01:00,CENTRL,61754,49.84,0.03,-17.82
01/11/2022 01:00,DUNWOD,61760,142.00,2.91,-107.09
01/11/2022 01:00,GENESE,61753,45.21,-0.64,-13.86
01/11/2022 01:00,H Q,61844,31.32,-0.67,0.00
01/11/2022 01:00,HUD VL,61758,139.99,2.50,-105.50
01/11/2022 01:00,LONGIL,61762,142.72,3.52,-107.20
01/11/2022 01:00,MHK VL,61756,55.63,1.25,-22.39
01/11/2022 01:00,MILLWD,61759,142.68,2.78,-107.90
01/11/2022 01:00,N.Y.C.,61761,142.25,3.07,-107.18
01/11/2022 01:00,NORTH,61755,31.77,-0.22,0.00
01/11/2022 01:00,NPX,61845,160.10,2.50,-125.61
01/11/2022 01:00,O H,61846,47.00,-1.63,-16.64
01/11/2022 01:00,PJM,61847,98.95,0.77,-66.19
01/11/2022 01:00,WEST,61752,49.43,-0.73,-18.17
01/11/2022 02:00,CAPITL,61757,177.35,2.76,-140.94
01/11/2022 02:00,CENTRL,61754,50.65,0.07,-16.93
01/11/2022 02:00,DUNWOD,61760,138.50,3.06,-101.79
01/11/2022 02:00,GENESE,61753,46.18,-0.64,-13.17
01/11/2022 02:00,H Q,61844,32.94,-0.71,0.00
01/11/2022 02:00,HUD VL,61758,136.59,2.66,-100.28
01/11/2022 02:00,LONGIL,61762,139.45,3.90,-101.90
01/11/2022 02:00,MHK VL,61756,56.28,1.35,-21.28
01/11/2022 02:00,MILLWD,61759,139.17,2.96,-102.56
01/11/2022 02:00,N.Y.C.,61761,138.76,3.23,-101.88
01/11/2022 02:00,NORTH,61755,33.42,-0.23,0.00
01/11/2022 02:00,NPX,61845,155.70,2.66,-119.39
01/11/2022 02:00,O H,61846,47.82,-1.65,-15.81
01/11/2022 02:00,PJM,61847,97.41,0.84,-62.92
01/11/2022 02:00,WEST,61752,50.25,-0.67,-17.27
01/11/2022 03:00,CAPITL,61757,176.73,2.89,-138.59
01/11/2022 03:00,CENTRL,61754,51.94,0.04,-16.65
01/11/2022 03:00,DUNWOD,61760,138.58,3.24,-100.09
01/11/2022 03:00,GENESE,61753,47.43,-0.78,-12.95
01/11/2022 03:00,H Q,61844,34.51,-0.74,0.00
01/11/2022 03:00,HUD VL,61758,136.64,2.78,-98.61
01/11/2022 03:00,LONGIL,61762,139.60,4.16,-100.20
01/11/2022 03:00,MHK VL,61756,57.55,1.37,-20.93
01/11/2022 03:00,MILLWD,61759,139.24,3.14,-100.85
01/11/2022 03:00,N.Y.C.,61761,138.81,3.38,-100.18
01/11/2022 03:00,NORTH,61755,34.72,-0.53,0.00
01/11/2022 03:00,NPX,61845,155.40,2.75,-117.40
01/11/2022 03:00,O H,61846,48.89,-1.90,-15.55
01/11/2022 03:00,PJM,61847,97.96,0.84,-61.87
01/11/2022 03:00,WEST,61752,51.39,-0.85,-16.98
01/11/2022 04:00,CAPITL,61757,178.42,3.40,-134.55
01/11/2022 04:00,CENTRL,61754,56.68,0.04,-16.17
01/11/2022 04:00,DUNWOD,61760,141.24,3.60,-97.17
01/11/2022 04:00,GENESE,61753,52.12,-0.93,-12.58
01/11/2022 04:00,H Q,61844,39.66,-0.81,0.00
01/11/2022 04:00,HUD VL,61758,139.36,3.16,-95.73
01/11/2022 04:00,LONGIL,61762,142.24,4.49,-97.28
01/11/2022 04:00,MHK VL,61756,62.36,1.58,-20.32
01/11/2022 04:00,MILLWD,61759,141.78,3.40,-97.91
01/11/2022 04:00,N.Y.C.,61761,141.53,3.80,-97.26
01/11/2022 04:00,NORTH,61755,39.90,-0.57,0.00
01/11/2022 04:00,NPX,61845,157.56,3.12,-113.98
01/11/2022 04:00,O H,61846,53.30,-2.27,-15.10
01/11/2022 04:00,PJM,61847,101.42,0.89,-60.06
01/11/2022 04:00,WEST,61752,55.95,-1.01,-16.49
01/11/2022 05:00,CAPITL,61757,174.14,5.81,-99.20
01/11/2022 05:00,CENTRL,61754,80.71,-0.34,-11.92
01/11/2022 05:00,DUNWOD,61760,146.51,5.74,-71.64
01/11/2022 05:00,GENESE,61753,75.78,-2.63,-9.27
01/11/2022 05:00,H Q,61844,68.10,-1.04,0.00
01/11/2022 05:00,HUD VL,61758,144.69,4.98,-70.58
01/11/2022 05:00,LONGIL,61762,147.83,6.98,-71.72
01/11/2022 05:00,MHK VL,61756,86.81,2.69,-14.98
01/11/2022 05:00,MILLWD,61759,146.72,5.40,-72.19
01/11/2022 05:00,N.Y.C.,61761,146.85,6.01,-71.70
01/11/2022 05:00,NORTH,61755,68.86,-0.28,0.00
01/11/2022 05:00,NPX,61845,158.35,5.19,-84.03
01/11/2022 05:00,O H,61846,74.67,-5.60,-11.13
01/11/2022 05:00,PJM,61847,114.04,0.62,-44.28
01/11/2022 05:00,WEST,61752,77.69,-3.60,-12.16
01/11/2022 06:00,CAPITL,61757,161.08,12.86,-0.29
01/11/2022 06:00,CENTRL,61754,146.04,-1.93,-0.03
01/11/2022 06:00,DUNWOD,61760,159.38,11.24,-0.21
01/11/2022 06:00,GENESE,61753,139.97,-7.99,-0.03
01/11/2022 06:00,H Q,61844,146.74,-1.19,0.00
01/11/2022 06:00,HUD VL,61758,158.20,10.06,-0.21
01/11/2022 06:00,LONGIL,61762,162.65,14.51,-0.21
01/11/2022 06:00,MHK VL,61756,154.33,6.36,-0.04
01/11/2022 06:00,MILLWD,61759,158.93,10.79,-0.21
01/11/2022 06:00,N.Y.C.,61761,159.82,11.68,-0.21
01/11/2022 06:00,NORTH,61755,150.00,2.07,0.00
01/11/2022 06:00,NPX,61845,183.00,10.35,-24.72
01/11/2022 06:00,O H,61846,131.40,-16.57,-0.03
01/11/2022 06:00,PJM,61847,146.87,-1.19,-0.13
01/11/2022 06:00,WEST,61752,135.99,-11.98,-0.04
01/11/2022 07:00,CAPITL,61757,200.00,14.58,-26.90
01/11/2022 07:00,CENTRL,61754,159.27,-2.54,-3.29
01/11/2022 07:00,DUNWOD,61760,189.67,11.73,-19.42
01/11/2022 07:00,GENESE,61753,150.57,-10.47,-2.51
01/11/2022 07:00,H Q,61844,157.58,-0.95,0.00
01/11/2022 07:00,HUD VL,61758,187.96,10.30,-19.13
01/11/2022 07:00,LONGIL,61762,193.18,15.22,-19.44
01/11/2022 07:00,MHK VL,61756,169.40,6.97,-3.90
01/11/2022 07:00,MILLWD,61759,189.66,11.57,-19.57
01/11/2022 07:00,N.Y.C.,61761,200.00,11.90,-29.58
01/11/2022 07:00,NORTH,61755,161.22,2.69,0.00
01/11/2022 07:00,NPX,61845,199.58,10.93,-30.12
01/11/2022 07:00,O H,61846,141.09,-20.45,-3.02
01/11/2022 07:00,PJM,61847,168.31,-2.22,-12.00
01/11/2022 07:00,WEST,61752,146.61,-15.22,-3.30
01/11/2022 08:00,CAPITL,61757,186.52,15.56,0.00
01/11/2022 08:00,CENTRL,61754,167.89,-3.07,0.00
01/11/2022 08:00,DUNWOD,61760,184.64,13.68,0.00
01/11/2022 08:00,GENESE,61753,159.17,-11.79,0.00
01/11/2022 08:00,H Q,61844,170.11,-0.85,0.00
01/11/2022 08:00,HUD VL,61758,182.75,11.79,0.00
01/11/2022 08:00,LONGIL,61762,187.72,16.76,0.00
01/11/2022 08:00,MHK VL,61756,178.47,7.51,0.00
01/11/2022 08:00,MILLWD,61759,184.64,13.68,0.00
01/11/2022 08:00,N.Y.C.,61761,194.60,14.02,-9.62
01/11/2022 08:00,NORTH,61755,173.86,2.90,0.00
01/11/2022 08:00,NPX,61845,201.65,11.63,-19.06
01/11/2022 08:00,O H,61846,148.06,-22.90,0.00
01/11/2022 08:00,PJM,61847,168.40,-2.56,0.00
01/11/2022 08:00,WEST,61752,153.70,-17.26,0.00
01/11/2022 09:00,CAPITL,61757,190.70,16.23,0.00
01/11/2022 09:00,CENTRL,61754,170.63,-3.84,0.00
01/11/2022 09:00,DUNWOD,61760,188.94,14.47,0.00
01/11/2022 09:00,GENESE,61753,161.56,-12.91,0.00
01/11/2022 09:00,H Q,61844,173.43,-1.04,0.00
01/11/2022 09:00,HUD VL,61758,186.86,12.39,0.00
01/11/2022 09:00,LONGIL,61762,191.39,16.92,0.00
01/11/2022 09:00,MHK VL,61756,181.80,7.33,0.00
01/11/2022 09:00,MILLWD,61759,188.78,14.31,0.00
01/11/2022 09:00,N.Y.C.,61761,193.58,14.82,-4.29
01/11/2022 09:00,NORTH,61755,177.25,2.78,0.00
01/11/2022 09:00,NPX,61845,198.50,12.03,-12.00
01/11/2022 09:00,O H,61846,149.70,-24.77,0.00
01/11/2022 09:00,PJM,61847,164.04,-2.97,7.46
01/11/2022 09:00,WEST,61752,155.46,-19.01,0.00
01/11/2022 10:00,CAPITL,61757,209.84,14.84,-37.09
01/11/2022 10:00,CENTRL,61754,159.02,-2.84,-3.94
01/11/2022 10:00,DUNWOD,61760,212.01,14.22,-39.88
01/11/2022 10:00,GENESE,61753,150.29,-10.74,-3.12
01/11/2022 10:00,H Q,61844,156.49,-1.42,0.00
01/11/2022 10:00,HUD VL,61758,189.65,12.16,-19.58
01/11/2022 10:00,LONGIL,61762,213.59,15.64,-40.05
01/11/2022 10:00,MHK VL,61756,168.06,6.79,-3.36
01/11/2022 10:00,MILLWD,61759,210.68,13.90,-38.87
01/11/2022 10:00,N.Y.C.,61761,250.00,14.69,-77.40
01/11/2022 10:00,NORTH,61755,159.81,1.90,0.00
01/11/2022 10:00,NPX,61845,206.81,11.38,-37.52
01/11/2022 10:00,O H,61846,140.51,-21.16,-3.76
01/11/2022 10:00,PJM,61847,166.43,-1.42,-9.94
