Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/04/2022 00:00,CAPITL,61757,74.38,4.54,-22.11
03/04/2022 00:00,CENTRL,61754,51.43,0.57,-3.12
03/04/2022 00:00,DUNWOD,61760,70.00,4.77,-17.49
03/04/2022 00:00,GENESE,61753,50.25,0.10,-2.41
03/04/2022 00:00,H Q,61844,46.93,-0.81,0.00
03/04/2022 00:00,HUD VL,61758,69.34,4.20,-17.41
03/04/2022 00:00,LONGIL,61762,101.02,6.78,-46.50
03/04/2022 00:00,MHK VL,61756,53.45,2.15,-3.56
03/04/2022 00:00,MILLWD,61759,70.04,4.77,-17.53
03/04/2022 00:00,N.Y.C.,61761,70.35,5.11,-17.50
03/04/2022 00:00,NORTH,61755,47.35,-0.38,0.00
03/04/2022 00:00,NPX,61845,126.58,4.68,-74.16
03/04/2022 00:00,O H,61846,50.00,-0.95,-3.22
03/04/2022 00:00,PJM,61847,58.00,1.72,-8.55
03/04/2022 00:00,WEST,61752,51.23,0.14,-3.35
03/04/2022 01:00,CAPITL,61757,72.84,3.52,-31.87
03/04/2022 01:00,CENTRL,61754,42.43,0.49,-4.49
03/04/2022 01:00,DUNWOD,61760,66.52,3.86,-25.21
03/04/2022 01:00,GENESE,61753,41.04,0.11,-3.48
03/04/2022 01:00,H Q,61844,36.74,-0.71,0.00
03/04/2022 01:00,HUD VL,61758,65.91,3.37,-25.09
03/04/2022 01:00,LONGIL,61762,79.72,5.43,-36.85
03/04/2022 01:00,MHK VL,61756,44.16,1.57,-5.13
03/04/2022 01:00,MILLWD,61759,66.50,3.78,-25.27
03/04/2022 01:00,N.Y.C.,61761,66.76,4.08,-25.23
03/04/2022 01:00,NORTH,61755,36.74,-0.71,0.00
03/04/2022 01:00,NPX,61845,121.92,3.74,-80.73
03/04/2022 01:00,O H,61846,41.41,-0.67,-4.64
03/04/2022 01:00,PJM,61847,55.00,1.42,-16.13
03/04/2022 01:00,WEST,61752,42.47,0.19,-4.83
03/04/2022 02:00,CAPITL,61757,61.51,4.74,-5.21
03/04/2022 02:00,CENTRL,61754,52.71,0.41,-0.73
03/04/2022 02:00,DUNWOD,61760,60.89,5.21,-4.12
03/04/2022 02:00,GENESE,61753,51.88,-0.26,-0.57
03/04/2022 02:00,H Q,61844,50.74,-0.83,0.00
03/04/2022 02:00,HUD VL,61758,60.25,4.59,-4.10
03/04/2022 02:00,LONGIL,61762,77.43,7.37,-18.49
03/04/2022 02:00,MHK VL,61756,54.57,2.17,-0.84
03/04/2022 02:00,MILLWD,61759,60.80,5.11,-4.13
03/04/2022 02:00,N.Y.C.,61761,61.21,5.52,-4.13
03/04/2022 02:00,NORTH,61755,50.84,-0.72,0.00
03/04/2022 02:00,NPX,61845,120.14,5.06,-63.52
03/04/2022 02:00,O H,61846,50.78,-1.55,-0.76
03/04/2022 02:00,PJM,61847,55.90,1.70,-2.64
03/04/2022 02:00,WEST,61752,51.94,-0.41,-0.79
03/04/2022 03:00,CAPITL,61757,61.41,4.70,0.00
03/04/2022 03:00,CENTRL,61754,56.88,0.17,0.00
03/04/2022 03:00,DUNWOD,61760,61.47,4.76,0.00
03/04/2022 03:00,GENESE,61753,56.43,-0.28,0.00
03/04/2022 03:00,H Q,61844,56.20,-0.51,0.00
03/04/2022 03:00,HUD VL,61758,60.90,4.20,0.00
03/04/2022 03:00,LONGIL,61762,99.00,7.26,-35.03
03/04/2022 03:00,MHK VL,61756,58.86,2.15,0.00
03/04/2022 03:00,MILLWD,61759,61.47,4.76,0.00
03/04/2022 03:00,N.Y.C.,61761,61.82,5.11,0.00
03/04/2022 03:00,NORTH,61755,56.71,0.00,0.00
03/04/2022 03:00,NPX,61845,121.75,4.76,-60.28
03/04/2022 03:00,O H,61846,54.78,-1.93,0.00
03/04/2022 03:00,PJM,61847,55.70,1.25,2.25
03/04/2022 03:00,WEST,61752,56.03,-0.68,0.00
03/04/2022 04:00,CAPITL,61757,60.13,5.02,0.00
03/04/2022 04:00,CENTRL,61754,55.67,0.55,0.00
03/04/2022 04:00,DUNWOD,61760,60.58,5.46,0.00
03/04/2022 04:00,GENESE,61753,55.17,0.06,0.00
03/04/2022 04:00,H Q,61844,54.18,-0.94,0.00
03/04/2022 04:00,HUD VL,61758,60.02,4.90,0.00
03/04/2022 04:00,LONGIL,61762,110.80,7.94,-47.74
03/04/2022 04:00,MHK VL,61756,57.32,2.21,0.00
03/04/2022 04:00,MILLWD,61759,60.52,5.40,0.00
03/04/2022 04:00,N.Y.C.,61761,60.91,5.79,0.00
03/04/2022 04:00,NORTH,61755,54.07,-1.05,0.00
03/04/2022 04:00,NPX,61845,125.00,5.34,-64.54
03/04/2022 04:00,O H,61846,53.79,-1.32,0.00
03/04/2022 04:00,PJM,61847,57.10,1.98,0.00
03/04/2022 04:00,WEST,61752,55.06,-0.06,0.00
03/04/2022 05:00,CAPITL,61757,67.49,5.97,0.00
03/04/2022 05:00,CENTRL,61754,62.14,0.62,0.00
