Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/17/2022 00:00,CAPITL,61757,47.26,1.22,-27.83
03/17/2022 00:00,CENTRL,61754,22.38,0.49,-3.68
03/17/2022 00:00,DUNWOD,61760,39.37,1.35,-19.82
03/17/2022 00:00,GENESE,61753,21.29,0.29,-2.79
03/17/2022 00:00,H Q,61844,17.77,-0.44,0.00
03/17/2022 00:00,HUD VL,61758,39.45,1.31,-19.93
03/17/2022 00:00,LONGIL,61762,39.80,1.77,-19.83
03/17/2022 00:00,MHK VL,61756,23.30,0.60,-4.49
03/17/2022 00:00,MILLWD,61759,39.48,1.29,-19.98
03/17/2022 00:00,N.Y.C.,61761,39.47,1.44,-19.82
03/17/2022 00:00,NORTH,61755,17.64,-0.56,0.00
03/17/2022 00:00,NPX,61845,41.04,1.02,-21.82
03/17/2022 00:00,O H,61846,21.85,0.00,-3.64
03/17/2022 00:00,PJM,61847,31.57,0.73,-12.64
03/17/2022 00:00,WEST,61752,22.36,0.35,-3.81
03/17/2022 01:00,CAPITL,61757,45.70,1.14,-26.40
03/17/2022 01:00,CENTRL,61754,22.02,0.38,-3.49
03/17/2022 01:00,DUNWOD,61760,38.15,1.20,-18.80
03/17/2022 01:00,GENESE,61753,20.91,0.11,-2.65
03/17/2022 01:00,H Q,61844,17.77,-0.38,0.00
03/17/2022 01:00,HUD VL,61758,38.26,1.20,-18.91
03/17/2022 01:00,LONGIL,61762,38.41,1.45,-18.81
03/17/2022 01:00,MHK VL,61756,22.94,0.53,-4.26
03/17/2022 01:00,MILLWD,61759,38.28,1.18,-18.95
03/17/2022 01:00,N.Y.C.,61761,38.24,1.29,-18.80
03/17/2022 01:00,NORTH,61755,17.63,-0.53,0.00
03/17/2022 01:00,NPX,61845,39.77,0.93,-20.70
03/17/2022 01:00,O H,61846,21.33,-0.27,-3.45
03/17/2022 01:00,PJM,61847,30.68,0.54,-11.99
03/17/2022 01:00,WEST,61752,21.80,0.04,-3.61
03/17/2022 02:00,CAPITL,61757,46.27,0.83,-32.26
03/17/2022 02:00,CENTRL,61754,17.72,0.29,-4.26
03/17/2022 02:00,DUNWOD,61760,37.01,0.87,-22.97
03/17/2022 02:00,GENESE,61753,16.50,0.09,-3.24
