Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/15/2022 00:00,CAPITL,61757,58.91,1.61,-33.30
03/15/2022 00:00,CENTRL,61754,28.99,0.65,-4.34
03/15/2022 00:00,DUNWOD,61760,49.53,1.80,-23.73
03/15/2022 00:00,GENESE,61753,27.80,0.41,-3.39
03/15/2022 00:00,H Q,61844,23.38,-0.62,0.00
03/15/2022 00:00,HUD VL,61758,49.50,1.65,-23.84
03/15/2022 00:00,LONGIL,61762,82.29,2.47,-55.82
03/15/2022 00:00,MHK VL,61756,29.84,0.79,-5.04
03/15/2022 00:00,MILLWD,61759,49.59,1.70,-23.88
03/15/2022 00:00,N.Y.C.,61761,49.73,1.99,-23.74
03/15/2022 00:00,NORTH,61755,23.28,-0.72,0.00
03/15/2022 00:00,NPX,61845,51.67,1.54,-26.13
03/15/2022 00:00,O H,61846,28.28,-0.12,-4.40
03/15/2022 00:00,PJM,61847,39.99,0.84,-15.15
03/15/2022 00:00,WEST,61752,28.91,0.31,-4.59
03/15/2022 01:00,CAPITL,61757,55.85,1.58,-30.65
03/15/2022 01:00,CENTRL,61754,28.22,0.61,-3.99
03/15/2022 01:00,DUNWOD,61760,47.23,1.77,-21.85
03/15/2022 01:00,GENESE,61753,27.09,0.35,-3.12
03/15/2022 01:00,H Q,61844,23.03,-0.59,0.00
03/15/2022 01:00,HUD VL,61758,47.22,1.65,-21.95
03/15/2022 01:00,LONGIL,61762,72.64,2.48,-46.54
03/15/2022 01:00,MHK VL,61756,29.04,0.78,-4.64
03/15/2022 01:00,MILLWD,61759,47.28,1.68,-21.99
03/15/2022 01:00,N.Y.C.,61761,47.43,1.96,-21.86
03/15/2022 01:00,NORTH,61755,22.98,-0.64,0.00
03/15/2022 01:00,NPX,61845,49.13,1.46,-24.05
03/15/2022 01:00,O H,61846,27.50,-0.16,-4.05
03/15/2022 01:00,PJM,61847,38.41,0.85,-13.95
03/15/2022 01:00,WEST,61752,28.08,0.24,-4.23
03/15/2022 02:00,CAPITL,61757,53.77,1.59,-27.30
