Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/24/2022 00:00,CAPITL,61757,51.96,1.17,-31.90
03/24/2022 00:00,CENTRL,61754,23.81,0.64,-4.28
03/24/2022 00:00,DUNWOD,61760,43.26,1.72,-22.65
03/24/2022 00:00,GENESE,61753,22.51,0.40,-3.23
03/24/2022 00:00,H Q,61844,18.32,-0.57,0.00
03/24/2022 00:00,HUD VL,61758,43.23,1.64,-22.70
03/24/2022 00:00,LONGIL,61762,48.72,2.23,-27.61
03/24/2022 00:00,MHK VL,61756,24.67,0.72,-5.06
03/24/2022 00:00,MILLWD,61759,43.37,1.70,-22.79
03/24/2022 00:00,N.Y.C.,61761,43.20,1.85,-22.46
03/24/2022 00:00,NORTH,61755,17.81,-1.08,0.00
03/24/2022 00:00,NPX,61845,45.30,1.43,-24.98
03/24/2022 00:00,O H,61846,23.11,-0.02,-4.24
03/24/2022 00:00,PJM,61847,33.94,0.93,-14.13
03/24/2022 00:00,WEST,61752,23.66,0.32,-4.46
03/24/2022 01:00,CAPITL,61757,48.93,1.15,-29.29
03/24/2022 01:00,CENTRL,61754,22.98,0.55,-3.93
03/24/2022 01:00,DUNWOD,61760,40.92,1.63,-20.80
03/24/2022 01:00,GENESE,61753,21.79,0.33,-2.96
03/24/2022 01:00,H Q,61844,18.00,-0.50,0.00
03/24/2022 01:00,HUD VL,61758,40.87,1.53,-20.84
03/24/2022 01:00,LONGIL,61762,41.39,2.09,-20.81
03/24/2022 01:00,MHK VL,61756,23.77,0.63,-4.65
03/24/2022 01:00,MILLWD,61759,41.00,1.59,-20.92
03/24/2022 01:00,N.Y.C.,61761,40.87,1.76,-20.62
03/24/2022 01:00,NORTH,61755,17.46,-1.04,0.00
03/24/2022 01:00,NPX,61845,42.83,1.40,-22.93
03/24/2022 01:00,O H,61846,22.24,-0.15,-3.89
03/24/2022 01:00,PJM,61847,32.26,0.79,-12.97
03/24/2022 01:00,WEST,61752,22.72,0.13,-4.09
03/24/2022 02:00,CAPITL,61757,48.16,1.19,-28.35
03/24/2022 02:00,CENTRL,61754,22.97,0.54,-3.81
03/24/2022 02:00,DUNWOD,61760,40.37,1.62,-20.13
03/24/2022 02:00,GENESE,61753,21.80,0.32,-2.87
03/24/2022 02:00,H Q,61844,18.10,-0.52,0.00
03/24/2022 02:00,HUD VL,61758,40.32,1.53,-20.18
03/24/2022 02:00,LONGIL,61762,40.83,2.07,-20.14
03/24/2022 02:00,MHK VL,61756,23.77,0.65,-4.50
03/24/2022 02:00,MILLWD,61759,40.47,1.60,-20.25
03/24/2022 02:00,N.Y.C.,61761,40.28,1.73,-19.93
03/24/2022 02:00,NORTH,61755,17.56,-1.06,0.00
03/24/2022 02:00,NPX,61845,42.23,1.41,-22.20
03/24/2022 02:00,O H,61846,22.24,-0.15,-3.77
03/24/2022 02:00,PJM,61847,31.92,0.80,-12.50
03/24/2022 02:00,WEST,61752,22.71,0.13,-3.96
03/24/2022 03:00,CAPITL,61757,46.88,1.24,-26.88
03/24/2022 03:00,CENTRL,61754,22.93,0.56,-3.61
03/24/2022 03:00,DUNWOD,61760,39.44,1.59,-19.09
03/24/2022 03:00,GENESE,61753,21.82,0.34,-2.72
03/24/2022 03:00,H Q,61844,18.25,-0.51,0.00
03/24/2022 03:00,HUD VL,61758,39.39,1.50,-19.13
03/24/2022 03:00,LONGIL,61762,39.85,1.99,-19.10
03/24/2022 03:00,MHK VL,61756,23.65,0.62,-4.27
03/24/2022 03:00,MILLWD,61759,39.52,1.56,-19.20
03/24/2022 03:00,N.Y.C.,61761,39.37,1.69,-18.92
03/24/2022 03:00,NORTH,61755,17.73,-1.03,0.00
03/24/2022 03:00,NPX,61845,41.20,1.39,-21.05
03/24/2022 03:00,O H,61846,21.44,-0.11,-2.79
03/24/2022 03:00,PJM,61847,31.46,0.81,-11.90
03/24/2022 03:00,WEST,61752,22.74,0.23,-3.76
03/24/2022 04:00,CAPITL,61757,48.36,1.26,-28.25
03/24/2022 04:00,CENTRL,61754,23.24,0.60,-3.79
03/24/2022 04:00,DUNWOD,61760,40.49,1.58,-20.06
03/24/2022 04:00,GENESE,61753,22.08,0.38,-2.86
03/24/2022 04:00,H Q,61844,18.32,-0.53,0.00
03/24/2022 04:00,HUD VL,61758,40.48,1.53,-20.11
03/24/2022 04:00,LONGIL,61762,40.94,2.02,-20.07
03/24/2022 04:00,MHK VL,61756,23.99,0.66,-4.48
03/24/2022 04:00,MILLWD,61759,40.59,1.56,-20.18
03/24/2022 04:00,N.Y.C.,61761,40.44,1.71,-19.88
03/24/2022 04:00,NORTH,61755,17.75,-1.09,0.00
03/24/2022 04:00,NPX,61845,42.40,1.43,-22.12
03/24/2022 04:00,O H,61846,22.55,-0.06,-3.76
03/24/2022 04:00,PJM,61847,32.17,0.83,-12.49
03/24/2022 04:00,WEST,61752,23.06,0.26,-3.95
03/24/2022 05:00,CAPITL,61757,51.58,1.34,-31.31
03/24/2022 05:00,CENTRL,61754,23.87,0.74,-4.20
03/24/2022 05:00,DUNWOD,61760,42.79,1.63,-22.23
03/24/2022 05:00,GENESE,61753,22.70,0.61,-3.17
