Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/10/2022 00:00,CAPITL,61757,58.23,1.36,-32.96
03/10/2022 00:00,CENTRL,61754,29.00,0.74,-4.35
03/10/2022 00:00,DUNWOD,61760,49.27,2.08,-23.28
03/10/2022 00:00,GENESE,61753,27.51,0.33,-3.26
03/10/2022 00:00,H Q,61844,23.32,-0.60,0.00
03/10/2022 00:00,HUD VL,61758,49.25,1.98,-23.35
03/10/2022 00:00,LONGIL,61762,50.12,2.92,-23.29
03/10/2022 00:00,MHK VL,61756,30.11,0.84,-5.36
03/10/2022 00:00,MILLWD,61759,49.39,2.01,-23.47
03/10/2022 00:00,N.Y.C.,61761,49.36,2.15,-23.29
03/10/2022 00:00,NORTH,61755,23.15,-0.77,0.00
03/10/2022 00:00,NPX,61845,51.34,1.74,-25.68
03/10/2022 00:00,O H,61846,27.82,-0.36,-4.27
03/10/2022 00:00,PJM,61847,39.98,1.15,-14.92
03/10/2022 00:00,WEST,61752,28.67,0.31,-4.45
03/10/2022 01:00,CAPITL,61757,55.01,1.14,-34.51
03/10/2022 01:00,CENTRL,61754,24.53,0.62,-4.55
03/10/2022 01:00,DUNWOD,61760,45.40,1.66,-24.38
03/10/2022 01:00,GENESE,61753,23.06,0.29,-3.41
03/10/2022 01:00,H Q,61844,18.85,-0.50,0.00
03/10/2022 01:00,HUD VL,61758,45.40,1.59,-24.46
03/10/2022 01:00,LONGIL,61762,46.05,2.30,-24.39
03/10/2022 01:00,MHK VL,61756,25.65,0.68,-5.62
03/10/2022 01:00,MILLWD,61759,45.54,1.61,-24.58
03/10/2022 01:00,N.Y.C.,61761,45.45,1.70,-24.39
03/10/2022 01:00,NORTH,61755,18.70,-0.66,0.00
03/10/2022 01:00,NPX,61845,47.66,1.41,-26.89
03/10/2022 01:00,O H,61846,23.65,-0.17,-4.47
03/10/2022 01:00,PJM,61847,35.95,0.97,-15.63
03/10/2022 01:00,WEST,61752,24.36,0.35,-4.66
03/10/2022 02:00,CAPITL,61757,52.48,1.46,-26.68
03/10/2022 02:00,CENTRL,61754,28.64,0.78,-3.52
03/10/2022 02:00,DUNWOD,61760,45.23,2.04,-18.85
03/10/2022 02:00,GENESE,61753,27.32,0.34,-2.64
03/10/2022 02:00,H Q,61844,23.71,-0.63,0.00
03/10/2022 02:00,HUD VL,61758,45.19,1.95,-18.91
03/10/2022 02:00,LONGIL,61762,45.97,2.77,-18.86
03/10/2022 02:00,MHK VL,61756,29.55,0.87,-4.34
03/10/2022 02:00,MILLWD,61759,45.31,1.97,-19.00
03/10/2022 02:00,N.Y.C.,61761,45.31,2.12,-18.85
03/10/2022 02:00,NORTH,61755,23.51,-0.83,0.00
03/10/2022 02:00,NPX,61845,46.88,1.75,-20.79
03/10/2022 02:00,O H,61846,27.48,-0.32,-3.46
03/10/2022 02:00,PJM,61847,37.56,1.14,-12.08
03/10/2022 02:00,WEST,61752,28.30,0.37,-3.60
03/10/2022 03:00,CAPITL,61757,52.33,1.54,-26.03
03/10/2022 03:00,CENTRL,61754,28.97,0.77,-3.43
03/10/2022 03:00,DUNWOD,61760,45.21,2.05,-18.38
03/10/2022 03:00,GENESE,61753,27.69,0.35,-2.57
03/10/2022 03:00,H Q,61844,24.12,-0.64,0.00
03/10/2022 03:00,HUD VL,61758,45.14,1.93,-18.44
03/10/2022 03:00,LONGIL,61762,45.98,2.82,-18.39
03/10/2022 03:00,MHK VL,61756,29.89,0.89,-4.23
03/10/2022 03:00,MILLWD,61759,45.28,1.98,-18.53
03/10/2022 03:00,N.Y.C.,61761,45.26,2.10,-18.39
03/10/2022 03:00,NORTH,61755,23.93,-0.84,0.00
03/10/2022 03:00,NPX,61845,46.71,1.66,-20.28
03/10/2022 03:00,O H,61846,27.84,-0.30,-3.37
03/10/2022 03:00,PJM,61847,37.69,1.14,-11.78
03/10/2022 03:00,WEST,61752,28.70,0.42,-3.51
03/10/2022 04:00,CAPITL,61757,52.55,1.59,-25.75
03/10/2022 04:00,CENTRL,61754,29.42,0.81,-3.40
03/10/2022 04:00,DUNWOD,61760,45.44,2.04,-18.19
03/10/2022 04:00,GENESE,61753,28.11,0.35,-2.55
03/10/2022 04:00,H Q,61844,24.56,-0.66,0.00
03/10/2022 04:00,HUD VL,61758,45.45,1.99,-18.25
03/10/2022 04:00,LONGIL,61762,46.28,2.87,-18.20
03/10/2022 04:00,MHK VL,61756,30.28,0.88,-4.19
03/10/2022 04:00,MILLWD,61759,45.54,1.99,-18.34
03/10/2022 04:00,N.Y.C.,61761,45.50,2.09,-18.20
03/10/2022 04:00,NORTH,61755,24.33,-0.88,0.00
03/10/2022 04:00,NPX,61845,47.07,1.79,-20.07
03/10/2022 04:00,O H,61846,28.17,-0.38,-3.34
03/10/2022 04:00,PJM,61847,38.03,1.16,-11.66
03/10/2022 04:00,WEST,61752,29.04,0.35,-3.48
03/10/2022 05:00,CAPITL,61757,50.92,2.72,-12.38
03/10/2022 05:00,CENTRL,61754,38.63,1.18,-1.63
03/10/2022 05:00,DUNWOD,61760,47.93,3.37,-8.74
03/10/2022 05:00,GENESE,61753,37.55,0.50,-1.23
03/10/2022 05:00,H Q,61844,34.82,-1.00,0.00
03/10/2022 05:00,HUD VL,61758,47.78,3.19,-8.77
03/10/2022 05:00,LONGIL,61762,49.87,4.77,-9.28
03/10/2022 05:00,MHK VL,61756,39.24,1.47,-1.94
03/10/2022 05:00,MILLWD,61759,47.89,3.26,-8.81
03/10/2022 05:00,N.Y.C.,61761,47.97,3.40,-8.74
03/10/2022 05:00,NORTH,61755,34.53,-1.29,0.00
03/10/2022 05:00,NPX,61845,48.40,2.94,-9.64
03/10/2022 05:00,O H,61846,36.78,-0.64,-1.60
03/10/2022 05:00,PJM,61847,43.25,1.83,-5.60
03/10/2022 05:00,WEST,61752,37.93,0.43,-1.67
03/10/2022 06:00,CAPITL,61757,68.70,3.08,-27.15
03/10/2022 06:00,CENTRL,61754,43.70,1.65,-3.57
03/10/2022 06:00,DUNWOD,61760,61.60,3.96,-19.16
03/10/2022 06:00,GENESE,61753,42.24,1.08,-2.69
03/10/2022 06:00,H Q,61844,37.01,-1.31,0.16
03/10/2022 06:00,HUD VL,61758,61.56,3.85,-19.24
03/10/2022 06:00,LONGIL,61762,63.30,5.66,-19.17
03/10/2022 06:00,MHK VL,61756,44.66,1.92,-4.26
03/10/2022 06:00,MILLWD,61759,61.68,3.88,-19.32
03/10/2022 06:00,N.Y.C.,61761,61.49,3.85,-19.16
03/10/2022 06:00,NORTH,61755,36.86,-1.61,0.00
03/10/2022 06:00,NPX,61845,62.88,3.27,-21.14
03/10/2022 06:00,O H,61846,41.76,-0.23,-3.51
03/10/2022 06:00,PJM,61847,53.22,2.46,-12.28
03/10/2022 06:00,WEST,61752,43.30,1.15,-3.67
03/10/2022 07:00,CAPITL,61757,73.55,4.11,-19.32
03/10/2022 07:00,CENTRL,61754,54.74,2.15,-2.47
03/10/2022 07:00,DUNWOD,61760,68.58,5.16,-13.30
03/10/2022 07:00,GENESE,61753,53.64,1.65,-1.87
03/10/2022 07:00,H Q,61844,37.01,-1.70,11.40
03/10/2022 07:00,HUD VL,61758,68.24,4.76,-13.36
03/10/2022 07:00,LONGIL,61762,69.99,6.56,-13.31
03/10/2022 07:00,MHK VL,61756,54.47,2.55,-1.80
03/10/2022 07:00,MILLWD,61759,68.58,5.06,-13.41
03/10/2022 07:00,N.Y.C.,61761,68.63,5.21,-13.30
03/10/2022 07:00,NORTH,61755,36.78,-2.10,11.23
03/10/2022 07:00,NPX,61845,68.91,4.11,-14.69
03/10/2022 07:00,O H,61846,52.26,-0.30,-2.44
03/10/2022 07:00,PJM,61847,61.65,3.01,-8.53
03/10/2022 07:00,WEST,61752,54.22,1.56,-2.55
03/10/2022 08:00,CAPITL,61757,68.74,3.44,-23.32
03/10/2022 08:00,CENTRL,61754,46.66,1.64,-3.04
03/10/2022 08:00,DUNWOD,61760,63.07,4.78,-16.31
03/10/2022 08:00,GENESE,61753,45.47,1.17,-2.32
03/10/2022 08:00,H Q,61844,37.01,-1.43,3.55
03/10/2022 08:00,HUD VL,61758,62.65,4.28,-16.39
03/10/2022 08:00,LONGIL,61762,64.51,6.21,-16.31
03/10/2022 08:00,MHK VL,61756,46.98,1.80,-3.19
03/10/2022 08:00,MILLWD,61759,63.04,4.62,-16.44
03/10/2022 08:00,N.Y.C.,61761,63.20,4.91,-16.31
03/10/2022 08:00,NORTH,61755,36.98,-1.76,3.24
03/10/2022 08:00,NPX,61845,63.62,3.61,-18.02
03/10/2022 08:00,O H,61846,44.71,-0.29,-3.02
03/10/2022 08:00,PJM,61847,55.14,2.69,-10.47
03/10/2022 08:00,WEST,61752,46.39,1.26,-3.15
03/10/2022 09:00,CAPITL,61757,59.55,3.17,-17.79
03/10/2022 09:00,CENTRL,61754,42.40,1.47,-2.33
03/10/2022 09:00,DUNWOD,61760,55.47,4.36,-12.51
03/10/2022 09:00,GENESE,61753,41.34,0.97,-1.78
03/10/2022 09:00,H Q,61844,37.01,-1.27,0.32
03/10/2022 09:00,HUD VL,61758,55.11,3.94,-12.57
03/10/2022 09:00,LONGIL,61762,61.69,5.91,-17.19
03/10/2022 09:00,MHK VL,61756,42.86,1.58,-2.68
03/10/2022 09:00,MILLWD,61759,55.42,4.21,-12.62
03/10/2022 09:00,N.Y.C.,61761,55.55,4.44,-12.52
03/10/2022 09:00,NORTH,61755,37.05,-1.55,0.00
03/10/2022 09:00,NPX,61845,55.79,3.36,-13.83
03/10/2022 09:00,O H,61846,40.61,-0.31,-2.32
03/10/2022 09:00,PJM,61847,49.06,2.43,-8.03
03/10/2022 09:00,WEST,61752,41.94,0.92,-2.41
03/10/2022 10:00,CAPITL,61757,55.15,3.09,-14.43
03/10/2022 10:00,CENTRL,61754,40.84,1.32,-1.89
03/10/2022 10:00,DUNWOD,61760,52.03,4.25,-10.15
03/10/2022 10:00,GENESE,61753,39.94,0.87,-1.44
03/10/2022 10:00,H Q,61844,36.02,-1.21,0.40
03/10/2022 10:00,HUD VL,61758,51.60,3.76,-10.20
03/10/2022 10:00,LONGIL,61762,55.32,5.61,-12.09
03/10/2022 10:00,MHK VL,61756,41.31,1.51,-2.18
