Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/29/2022 00:00,CAPITL,61757,176.31,0.38,-170.81
03/29/2022 00:00,CENTRL,61754,27.17,0.10,-21.96
03/29/2022 00:00,DUNWOD,61760,131.95,0.36,-126.48
03/29/2022 00:00,GENESE,61753,22.61,0.07,-17.43
03/29/2022 00:00,H Q,61844,5.04,-0.08,0.00
03/29/2022 00:00,HUD VL,61758,131.50,0.34,-126.04
03/29/2022 00:00,LONGIL,61762,133.64,0.50,-128.02
03/29/2022 00:00,MHK VL,61756,31.04,0.20,-25.73
03/29/2022 00:00,MILLWD,61759,132.61,0.36,-127.13
03/29/2022 00:00,N.Y.C.,61761,128.69,0.38,-123.19
03/29/2022 00:00,NORTH,61755,5.05,-0.07,0.00
03/29/2022 00:00,NPX,61845,150.35,0.32,-144.91
03/29/2022 00:00,O H,61846,28.06,-0.05,-22.99
03/29/2022 00:00,PJM,61847,68.30,0.14,-63.04
03/29/2022 00:00,WEST,61752,29.37,0.06,-24.19
03/29/2022 01:00,CAPITL,61757,159.04,0.30,-154.68
03/29/2022 01:00,CENTRL,61754,24.01,0.07,-19.88
03/29/2022 01:00,DUNWOD,61760,118.87,0.28,-114.53
03/29/2022 01:00,GENESE,61753,19.90,0.06,-15.78
03/29/2022 01:00,H Q,61844,4.00,-0.06,0.00
03/29/2022 01:00,HUD VL,61758,118.46,0.27,-114.14
03/29/2022 01:00,LONGIL,61762,119.00,0.36,-114.58
03/29/2022 01:00,MHK VL,61756,27.50,0.15,-23.30
03/29/2022 01:00,MILLWD,61759,119.47,0.28,-115.13
03/29/2022 01:00,N.Y.C.,61761,116.14,0.29,-111.80
03/29/2022 01:00,NORTH,61755,4.00,-0.05,0.00
03/29/2022 01:00,NPX,61845,135.54,0.26,-131.23
03/29/2022 01:00,O H,61846,24.85,-0.03,-20.82
03/29/2022 01:00,PJM,61847,65.27,0.11,-61.10
03/29/2022 01:00,WEST,61752,26.02,0.06,-21.91
03/29/2022 02:00,CAPITL,61757,149.96,0.41,-144.21
03/29/2022 02:00,CENTRL,61754,24.00,0.12,-18.54
03/29/2022 02:00,DUNWOD,61760,112.49,0.36,-106.78
03/29/2022 02:00,GENESE,61753,20.16,0.10,-14.71
03/29/2022 02:00,H Q,61844,5.26,-0.09,0.00
03/29/2022 02:00,HUD VL,61758,112.11,0.35,-106.41
03/29/2022 02:00,LONGIL,61762,114.50,0.51,-108.64
03/29/2022 02:00,MHK VL,61756,27.28,0.21,-21.72
03/29/2022 02:00,MILLWD,61759,113.05,0.37,-107.33
03/29/2022 02:00,N.Y.C.,61761,111.53,0.38,-105.81
03/29/2022 02:00,NORTH,61755,5.26,-0.08,0.00
03/29/2022 02:00,NPX,61845,128.04,0.35,-122.34
03/29/2022 02:00,O H,61846,24.76,0.01,-19.41
03/29/2022 02:00,PJM,61847,63.80,0.16,-58.30
03/29/2022 02:00,WEST,61752,25.89,0.12,-20.42
03/29/2022 03:00,CAPITL,61757,152.65,0.39,-147.13
03/29/2022 03:00,CENTRL,61754,24.15,0.11,-18.91
