Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/12/2022 00:00,CAPITL,61757,46.83,2.46,-8.73
03/12/2022 00:00,CENTRL,61754,37.70,0.89,-1.17
03/12/2022 00:00,DUNWOD,61760,44.54,2.67,-6.23
03/12/2022 00:00,GENESE,61753,36.98,0.46,-0.88
03/12/2022 00:00,H Q,61844,34.82,-0.82,0.00
03/12/2022 00:00,HUD VL,61758,44.54,2.64,-6.27
03/12/2022 00:00,LONGIL,61762,45.11,3.24,-6.23
03/12/2022 00:00,MHK VL,61756,38.43,1.28,-1.51
03/12/2022 00:00,MILLWD,61759,44.48,2.57,-6.27
03/12/2022 00:00,N.Y.C.,61761,44.68,2.81,-6.23
03/12/2022 00:00,NORTH,61755,34.96,-0.68,0.00
03/12/2022 00:00,NPX,61845,44.72,2.21,-6.87
03/12/2022 00:00,O H,61846,22.06,-0.39,13.19
03/12/2022 00:00,PJM,61847,40.95,1.32,-4.00
03/12/2022 00:00,WEST,61752,37.40,0.57,-1.19
03/12/2022 01:00,CAPITL,61757,47.47,2.34,-11.20
03/12/2022 01:00,CENTRL,61754,36.24,0.81,-1.49
03/12/2022 01:00,DUNWOD,61760,44.36,2.44,-7.98
03/12/2022 01:00,GENESE,61753,35.43,0.37,-1.13
03/12/2022 01:00,H Q,61844,33.18,-0.75,0.00
03/12/2022 01:00,HUD VL,61758,44.37,2.41,-8.03
03/12/2022 01:00,LONGIL,61762,44.73,2.81,-7.99
03/12/2022 01:00,MHK VL,61756,37.06,1.19,-1.94
03/12/2022 01:00,MILLWD,61759,44.31,2.34,-8.05
03/12/2022 01:00,N.Y.C.,61761,44.46,2.55,-7.99
03/12/2022 01:00,NORTH,61755,33.32,-0.61,0.00
03/12/2022 01:00,NPX,61845,44.67,1.93,-8.81
03/12/2022 01:00,O H,61846,21.22,-0.34,12.37
03/12/2022 01:00,PJM,61847,40.24,1.19,-5.12
03/12/2022 01:00,WEST,61752,36.00,0.54,-1.52
03/12/2022 02:00,CAPITL,61757,49.37,1.96,-19.38
03/12/2022 02:00,CENTRL,61754,31.28,0.67,-2.59
03/12/2022 02:00,DUNWOD,61760,43.83,1.99,-13.82
03/12/2022 02:00,GENESE,61753,30.25,0.28,-1.95
03/12/2022 02:00,H Q,61844,27.38,-0.64,0.00
03/12/2022 02:00,HUD VL,61758,43.89,1.96,-13.90
03/12/2022 02:00,LONGIL,61762,44.11,2.27,-13.82
03/12/2022 02:00,MHK VL,61756,32.36,0.98,-3.36
03/12/2022 02:00,MILLWD,61759,43.85,1.91,-13.92
03/12/2022 02:00,N.Y.C.,61761,43.92,2.07,-13.82
03/12/2022 02:00,NORTH,61755,27.43,-0.59,0.00
03/12/2022 02:00,NPX,61845,44.86,1.60,-15.24
03/12/2022 02:00,O H,61846,20.30,-0.31,7.42
03/12/2022 02:00,PJM,61847,37.87,0.98,-8.87
03/12/2022 02:00,WEST,61752,31.02,0.36,-2.64
03/12/2022 03:00,CAPITL,61757,47.46,1.97,-17.34
03/12/2022 03:00,CENTRL,61754,31.16,0.70,-2.31
03/12/2022 03:00,DUNWOD,61760,42.51,2.00,-12.36
03/12/2022 03:00,GENESE,61753,30.23,0.34,-1.74
03/12/2022 03:00,H Q,61844,27.47,-0.68,0.00
03/12/2022 03:00,HUD VL,61758,42.58,2.00,-12.44
03/12/2022 03:00,LONGIL,61762,42.71,2.20,-12.37
03/12/2022 03:00,MHK VL,61756,32.16,1.01,-3.00
03/12/2022 03:00,MILLWD,61759,42.54,1.94,-12.46
03/12/2022 03:00,N.Y.C.,61761,42.56,2.05,-12.37
03/12/2022 03:00,NORTH,61755,27.50,-0.65,0.00
03/12/2022 03:00,NPX,61845,43.39,1.60,-13.64
03/12/2022 03:00,O H,61846,16.47,-0.17,11.51
03/12/2022 03:00,PJM,61847,37.18,1.10,-7.93
03/12/2022 03:00,WEST,61752,31.01,0.51,-2.36
03/12/2022 04:00,CAPITL,61757,50.09,1.79,-22.37
03/12/2022 04:00,CENTRL,61754,29.57,0.65,-2.99
03/12/2022 04:00,DUNWOD,61760,43.67,1.79,-15.94
03/12/2022 04:00,GENESE,61753,28.47,0.29,-2.25
03/12/2022 04:00,H Q,61844,25.31,-0.62,0.00
03/12/2022 04:00,HUD VL,61758,43.77,1.79,-16.05
03/12/2022 04:00,LONGIL,61762,43.88,2.00,-15.95
03/12/2022 04:00,MHK VL,61756,30.72,0.91,-3.87
03/12/2022 04:00,MILLWD,61759,43.69,1.68,-16.07
03/12/2022 04:00,N.Y.C.,61761,43.73,1.84,-15.95
03/12/2022 04:00,NORTH,61755,25.31,-0.62,0.00
03/12/2022 04:00,NPX,61845,44.95,1.43,-17.59
03/12/2022 04:00,O H,61846,16.47,-0.26,9.21
03/12/2022 04:00,PJM,61847,37.10,0.93,-10.23
03/12/2022 04:00,WEST,61752,29.27,0.29,-3.04
03/12/2022 05:00,CAPITL,61757,51.18,1.79,-24.13
03/12/2022 05:00,CENTRL,61754,29.13,0.66,-3.22
03/12/2022 05:00,DUNWOD,61760,44.37,1.92,-17.20
03/12/2022 05:00,GENESE,61753,27.96,0.28,-2.43
03/12/2022 05:00,H Q,61844,24.64,-0.61,0.00
03/12/2022 05:00,HUD VL,61758,44.46,1.89,-17.31
03/12/2022 05:00,LONGIL,61762,44.58,2.12,-17.21
03/12/2022 05:00,MHK VL,61756,30.34,0.91,-4.18
03/12/2022 05:00,MILLWD,61759,44.43,1.84,-17.34
03/12/2022 05:00,N.Y.C.,61761,44.40,1.94,-17.21
03/12/2022 05:00,NORTH,61755,24.67,-0.58,0.00
03/12/2022 05:00,NPX,61845,45.77,1.54,-18.98
03/12/2022 05:00,O H,61846,28.03,-0.38,-3.15
03/12/2022 05:00,PJM,61847,37.27,0.98,-11.04
03/12/2022 05:00,WEST,61752,28.71,0.18,-3.28
03/12/2022 06:00,CAPITL,61757,57.07,1.68,-30.65
03/12/2022 06:00,CENTRL,61754,29.47,0.64,-4.09
03/12/2022 06:00,DUNWOD,61760,48.61,2.03,-21.85
03/12/2022 06:00,GENESE,61753,27.92,0.10,-3.08
03/12/2022 06:00,H Q,61844,24.17,-0.57,0.00
03/12/2022 06:00,HUD VL,61758,48.68,1.95,-21.99
03/12/2022 06:00,LONGIL,61762,48.99,2.40,-21.86
03/12/2022 06:00,MHK VL,61756,31.11,1.06,-5.31
03/12/2022 06:00,MILLWD,61759,48.69,1.93,-22.02
03/12/2022 06:00,N.Y.C.,61761,48.64,2.05,-21.85
03/12/2022 06:00,NORTH,61755,24.19,-0.54,0.00
03/12/2022 06:00,NPX,61845,50.42,1.58,-24.10
03/12/2022 06:00,O H,61846,27.85,-0.89,-4.01
03/12/2022 06:00,PJM,61847,39.67,0.92,-14.02
03/12/2022 06:00,WEST,61752,28.71,-0.20,-4.17
03/12/2022 07:00,CAPITL,61757,59.97,1.87,-34.72
03/12/2022 07:00,CENTRL,61754,29.18,0.65,-5.14
03/12/2022 07:00,DUNWOD,61760,52.50,1.80,-27.32
03/12/2022 07:00,GENESE,61753,27.64,0.30,-3.95
03/12/2022 07:00,H Q,61844,22.82,-0.56,0.00
03/12/2022 07:00,HUD VL,61758,52.47,1.73,-27.36
03/12/2022 07:00,LONGIL,61762,52.82,2.11,-27.33
03/12/2022 07:00,MHK VL,61756,30.86,1.03,-6.45
03/12/2022 07:00,MILLWD,61759,52.60,1.73,-27.49
03/12/2022 07:00,N.Y.C.,61761,52.53,1.83,-27.32
03/12/2022 07:00,NORTH,61755,22.82,-0.56,0.00
03/12/2022 07:00,NPX,61845,53.92,1.38,-29.16
03/12/2022 07:00,O H,61846,27.83,-0.65,-5.10
03/12/2022 07:00,PJM,61847,41.77,0.82,-17.57
03/12/2022 07:00,WEST,61752,28.72,0.02,-5.31
03/12/2022 08:00,CAPITL,61757,63.72,2.69,-29.06
03/12/2022 08:00,CENTRL,61754,37.11,0.83,-4.31
03/12/2022 08:00,DUNWOD,61760,57.49,2.65,-22.86
03/12/2022 08:00,GENESE,61753,35.54,0.25,-3.31
03/12/2022 08:00,H Q,61844,31.18,-0.80,0.00
03/12/2022 08:00,HUD VL,61758,57.40,2.53,-22.89
03/12/2022 08:00,LONGIL,61762,57.95,3.10,-22.87
03/12/2022 08:00,MHK VL,61756,38.78,1.41,-5.40
03/12/2022 08:00,MILLWD,61759,57.51,2.53,-23.01
03/12/2022 08:00,N.Y.C.,61761,57.56,2.72,-22.87
03/12/2022 08:00,NORTH,61755,31.18,-0.80,0.00
03/12/2022 08:00,NPX,61845,58.33,1.95,-24.40
03/12/2022 08:00,O H,61846,35.00,-1.25,-4.27
03/12/2022 08:00,PJM,61847,47.74,1.05,-14.71
03/12/2022 08:00,WEST,61752,36.07,-0.35,-4.44
03/12/2022 09:00,CAPITL,61757,72.00,2.80,-36.26
03/12/2022 09:00,CENTRL,61754,37.91,0.89,-4.08
03/12/2022 09:00,DUNWOD,61760,58.46,2.77,-22.75
03/12/2022 09:00,GENESE,61753,36.50,0.43,-3.13
03/12/2022 09:00,H Q,61844,32.09,-0.86,0.00
03/12/2022 09:00,HUD VL,61758,59.04,2.64,-23.46
03/12/2022 09:00,LONGIL,61762,59.30,3.59,-22.76
03/12/2022 09:00,MHK VL,61756,39.98,1.45,-5.59
03/12/2022 09:00,MILLWD,61759,58.62,2.64,-23.04
03/12/2022 09:00,N.Y.C.,61761,58.53,2.83,-22.76
03/12/2022 09:00,NORTH,61755,32.05,-0.89,0.00
03/12/2022 09:00,NPX,61845,60.68,1.94,-25.79
03/12/2022 09:00,O H,61846,35.83,-1.15,-4.04
03/12/2022 09:00,PJM,61847,48.65,1.12,-14.58
03/12/2022 09:00,WEST,61752,36.82,-0.33,-4.21
03/12/2022 10:00,CAPITL,61757,99.00,2.60,-65.75
03/12/2022 10:00,CENTRL,61754,36.93,0.83,-5.45
03/12/2022 10:00,DUNWOD,61760,65.66,2.42,-32.59
03/12/2022 10:00,GENESE,61753,35.30,0.46,-4.19
03/12/2022 10:00,H Q,61844,29.85,-0.80,0.00
03/12/2022 10:00,HUD VL,61758,67.81,2.27,-34.89
03/12/2022 10:00,LONGIL,61762,66.26,3.01,-32.60
03/12/2022 10:00,MHK VL,61756,40.43,1.35,-8.43
03/12/2022 10:00,MILLWD,61759,66.29,2.36,-33.28
03/12/2022 10:00,N.Y.C.,61761,65.73,2.48,-32.60
03/12/2022 10:00,NORTH,61755,29.82,-0.83,0.00
03/12/2022 10:00,NPX,61845,72.15,1.72,-39.79
03/12/2022 10:00,O H,61846,35.07,-0.98,-5.40
03/12/2022 10:00,PJM,61847,52.39,0.95,-20.79
03/12/2022 10:00,WEST,61752,36.12,-0.15,-5.62
03/12/2022 11:00,CAPITL,61757,111.72,2.54,-80.02
03/12/2022 11:00,CENTRL,61754,35.90,0.85,-5.88
03/12/2022 11:00,DUNWOD,61760,67.79,2.33,-36.29
03/12/2022 11:00,GENESE,61753,34.27,0.58,-4.52
03/12/2022 11:00,H Q,61844,28.38,-0.79,0.00
03/12/2022 11:00,HUD VL,61758,70.39,2.13,-39.09
03/12/2022 11:00,LONGIL,61762,68.16,2.68,-36.31
03/12/2022 11:00,MHK VL,61756,39.92,1.25,-9.50
03/12/2022 11:00,MILLWD,61759,68.62,2.28,-37.18
03/12/2022 11:00,N.Y.C.,61761,67.81,2.33,-36.30
03/12/2022 11:00,NORTH,61755,28.26,-0.90,0.00
03/12/2022 11:00,NPX,61845,76.43,1.60,-45.66
03/12/2022 11:00,O H,61846,34.36,-0.64,-5.83
03/12/2022 11:00,PJM,61847,53.18,0.91,-23.11
03/12/2022 11:00,WEST,61752,35.36,0.12,-6.07
03/12/2022 12:00,CAPITL,61757,88.12,1.34,-71.05
03/12/2022 12:00,CENTRL,61754,26.70,0.44,-10.53
03/12/2022 12:00,DUNWOD,61760,72.79,1.16,-55.90
03/12/2022 12:00,GENESE,61753,24.22,0.39,-8.09
03/12/2022 12:00,H Q,61844,15.32,-0.41,0.00
03/12/2022 12:00,HUD VL,61758,72.77,1.05,-55.98
03/12/2022 12:00,LONGIL,61762,73.01,1.35,-55.93
03/12/2022 12:00,MHK VL,61756,29.52,0.60,-13.19
03/12/2022 12:00,MILLWD,61759,73.12,1.13,-56.25
03/12/2022 12:00,N.Y.C.,61761,72.82,1.16,-55.92
03/12/2022 12:00,NORTH,61755,15.24,-0.49,0.00
03/12/2022 12:00,NPX,61845,76.19,0.79,-59.67
03/12/2022 12:00,O H,61846,25.88,-0.28,-10.44
03/12/2022 12:00,PJM,61847,52.10,0.41,-35.96
03/12/2022 12:00,WEST,61752,26.75,0.16,-10.86
03/12/2022 13:00,CAPITL,61757,83.53,1.33,-66.50
03/12/2022 13:00,CENTRL,61754,25.97,0.42,-9.85
03/12/2022 13:00,DUNWOD,61760,69.18,1.16,-52.32
03/12/2022 13:00,GENESE,61753,23.59,0.31,-7.57
03/12/2022 13:00,H Q,61844,15.32,-0.38,0.00
03/12/2022 13:00,HUD VL,61758,69.16,1.07,-52.40
03/12/2022 13:00,LONGIL,61762,69.52,1.48,-52.35
03/12/2022 13:00,MHK VL,61756,28.61,0.56,-12.35
03/12/2022 13:00,MILLWD,61759,69.46,1.11,-52.65
03/12/2022 13:00,N.Y.C.,61761,69.15,1.11,-52.34
03/12/2022 13:00,NORTH,61755,15.27,-0.42,0.00
03/12/2022 13:00,NPX,61845,72.31,0.77,-55.85
03/12/2022 13:00,O H,61846,25.12,-0.35,-9.77
03/12/2022 13:00,PJM,61847,49.78,0.42,-33.66
03/12/2022 13:00,WEST,61752,25.91,0.05,-10.17
03/12/2022 14:00,CAPITL,61757,87.59,1.16,-70.80
03/12/2022 14:00,CENTRL,61754,25.12,0.25,-9.24
03/12/2022 14:00,DUNWOD,61760,67.23,1.08,-50.52
03/12/2022 14:00,GENESE,61753,22.78,0.09,-7.06
03/12/2022 14:00,H Q,61844,15.32,-0.31,0.00
03/12/2022 14:00,HUD VL,61758,67.34,1.02,-50.69
03/12/2022 14:00,LONGIL,61762,67.54,1.36,-50.55
03/12/2022 14:00,MHK VL,61756,27.68,0.52,-11.54
03/12/2022 14:00,MILLWD,61759,67.55,1.03,-50.89
03/12/2022 14:00,N.Y.C.,61761,67.22,1.05,-50.54
03/12/2022 14:00,NORTH,61755,15.19,-0.44,0.00
03/12/2022 14:00,NPX,61845,72.15,0.78,-55.74
03/12/2022 14:00,O H,61846,24.16,-0.73,-9.27
