Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/21/2022 00:00,CAPITL,61757,91.76,1.79,-69.10
02/21/2022 00:00,CENTRL,61754,29.27,0.15,-8.25
02/21/2022 00:00,DUNWOD,61760,70.11,1.81,-47.43
02/21/2022 00:00,GENESE,61753,26.98,-0.19,-6.30
02/21/2022 00:00,H Q,61844,20.28,-0.58,0.00
02/21/2022 00:00,HUD VL,61758,69.89,1.61,-47.41
02/21/2022 00:00,LONGIL,61762,70.94,2.57,-47.51
02/21/2022 00:00,MHK VL,61756,31.84,0.77,-10.20
02/21/2022 00:00,MILLWD,61759,70.54,1.81,-47.85
02/21/2022 00:00,N.Y.C.,61761,70.29,1.92,-47.50
02/21/2022 00:00,NORTH,61755,20.07,-0.79,0.00
02/21/2022 00:00,NPX,61845,78.48,1.44,-56.17
02/21/2022 00:00,O H,61846,27.80,-0.71,-7.65
02/21/2022 00:00,PJM,61847,49.42,0.50,-28.05
02/21/2022 00:00,WEST,61752,28.70,-0.42,-8.25
02/21/2022 01:00,CAPITL,61757,80.11,1.84,-55.83
02/21/2022 01:00,CENTRL,61754,29.25,0.14,-6.67
02/21/2022 01:00,DUNWOD,61760,62.72,1.95,-38.32
02/21/2022 01:00,GENESE,61753,27.31,-0.22,-5.09
02/21/2022 01:00,H Q,61844,21.84,-0.60,0.00
02/21/2022 01:00,HUD VL,61758,62.50,1.75,-38.31
02/21/2022 01:00,LONGIL,61762,63.61,2.78,-38.39
02/21/2022 01:00,MHK VL,61756,31.49,0.81,-8.24
02/21/2022 01:00,MILLWD,61759,63.06,1.95,-38.66
02/21/2022 01:00,N.Y.C.,61761,62.88,2.06,-38.38
02/21/2022 01:00,NORTH,61755,21.59,-0.85,0.00
02/21/2022 01:00,NPX,61845,69.42,1.59,-45.39
02/21/2022 01:00,O H,61846,27.86,-0.76,-6.18
02/21/2022 01:00,PJM,61847,46.31,0.54,-23.33
02/21/2022 01:00,WEST,61752,28.66,-0.45,-6.67
02/21/2022 02:00,CAPITL,61757,75.92,1.80,-51.87
02/21/2022 02:00,CENTRL,61754,28.58,0.13,-6.19
02/21/2022 02:00,DUNWOD,61760,59.79,1.93,-35.61
02/21/2022 02:00,GENESE,61753,26.76,-0.22,-4.73
02/21/2022 02:00,H Q,61844,21.65,-0.60,0.00
