Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/06/2022 00:00,CAPITL,61757,187.42,10.89,-68.71
02/06/2022 00:00,CENTRL,61754,117.00,0.86,-8.31
02/06/2022 00:00,DUNWOD,61760,166.15,9.81,-48.51
02/06/2022 00:00,GENESE,61753,113.08,-0.97,-6.22
02/06/2022 00:00,H Q,61844,105.14,-2.69,0.00
02/06/2022 00:00,HUD VL,61758,164.61,8.73,-48.05
02/06/2022 00:00,LONGIL,61762,187.16,13.15,-66.18
02/06/2022 00:00,MHK VL,61756,124.14,5.82,-10.49
02/06/2022 00:00,MILLWD,61759,166.71,9.91,-48.96
02/06/2022 00:00,N.Y.C.,61761,166.50,10.35,-48.31
02/06/2022 00:00,NORTH,61755,106.75,-1.08,0.00
02/06/2022 00:00,NPX,61845,172.53,7.98,-56.72
02/06/2022 00:00,O H,61846,66.44,-5.07,36.32
02/06/2022 00:00,PJM,61847,102.10,2.37,8.10
02/06/2022 00:00,WEST,61752,114.55,-1.83,-8.56
02/06/2022 01:00,CAPITL,61757,169.23,12.50,-29.28
02/06/2022 01:00,CENTRL,61754,130.73,-0.25,-3.54
02/06/2022 01:00,DUNWOD,61760,158.95,10.83,-20.68
02/06/2022 01:00,GENESE,61753,127.17,-2.93,-2.65
02/06/2022 01:00,H Q,61844,125.02,-2.43,0.00
02/06/2022 01:00,HUD VL,61758,157.61,9.68,-20.48
02/06/2022 01:00,LONGIL,61762,171.87,15.29,-29.14
02/06/2022 01:00,MHK VL,61756,138.54,6.62,-4.47
02/06/2022 01:00,MILLWD,61759,159.40,11.08,-20.87
02/06/2022 01:00,N.Y.C.,61761,159.68,11.60,-20.63
02/06/2022 01:00,NORTH,61755,127.96,0.51,0.00
02/06/2022 01:00,NPX,61845,160.80,9.18,-24.17
02/06/2022 01:00,O H,61846,62.60,-8.28,56.56
02/06/2022 01:00,PJM,61847,90.00,1.53,38.98
02/06/2022 01:00,WEST,61752,126.12,-4.97,-3.64
02/06/2022 02:00,CAPITL,61757,164.44,14.54,0.00
02/06/2022 02:00,CENTRL,61754,149.16,-0.75,0.00
02/06/2022 02:00,DUNWOD,61760,161.44,11.54,0.00
02/06/2022 02:00,GENESE,61753,145.25,-4.65,0.00
02/06/2022 02:00,H Q,61844,147.80,-2.10,0.00
02/06/2022 02:00,HUD VL,61758,160.24,10.34,0.00
02/06/2022 02:00,LONGIL,61762,166.24,16.34,0.00
02/06/2022 02:00,MHK VL,61756,157.69,7.79,0.00
02/06/2022 02:00,MILLWD,61759,161.74,11.84,0.00
02/06/2022 02:00,N.Y.C.,61761,162.09,12.29,0.11
02/06/2022 02:00,NORTH,61755,151.40,1.50,0.00
02/06/2022 02:00,NPX,61845,160.10,10.20,0.00
02/06/2022 02:00,O H,61846,58.20,-11.25,80.46
02/06/2022 02:00,PJM,61847,88.18,0.60,62.32
02/06/2022 02:00,WEST,61752,142.41,-7.49,0.00
02/06/2022 03:00,CAPITL,61757,166.22,13.86,0.00
02/06/2022 03:00,CENTRL,61754,150.99,-1.37,0.00
02/06/2022 03:00,DUNWOD,61760,163.02,10.66,0.00
02/06/2022 03:00,GENESE,61753,146.88,-5.48,0.00
02/06/2022 03:00,H Q,61844,151.13,-1.22,0.00
02/06/2022 03:00,HUD VL,61758,161.81,9.45,0.00
02/06/2022 03:00,LONGIL,61762,167.59,15.23,0.00
02/06/2022 03:00,MHK VL,61756,159.82,7.46,0.00
02/06/2022 03:00,MILLWD,61759,163.48,11.12,0.00
02/06/2022 03:00,N.Y.C.,61761,163.49,11.27,0.14
02/06/2022 03:00,NORTH,61755,154.95,2.59,0.00
02/06/2022 03:00,NPX,61845,161.50,9.14,0.00
02/06/2022 03:00,O H,61846,56.60,-12.64,83.11
02/06/2022 03:00,PJM,61847,87.13,-0.46,64.77
02/06/2022 03:00,WEST,61752,143.37,-8.99,0.00
02/06/2022 04:00,CAPITL,61757,168.94,14.22,0.00
02/06/2022 04:00,CENTRL,61754,153.32,-1.40,0.00
02/06/2022 04:00,DUNWOD,61760,165.38,10.67,0.00
02/06/2022 04:00,GENESE,61753,149.15,-5.56,0.00
02/06/2022 04:00,H Q,61844,153.47,-1.24,0.00
02/06/2022 04:00,HUD VL,61758,164.16,9.44,0.00
02/06/2022 04:00,LONGIL,61762,170.04,15.32,0.00
02/06/2022 04:00,MHK VL,61756,162.30,7.58,0.00
02/06/2022 04:00,MILLWD,61759,165.38,10.67,0.00
02/06/2022 04:00,N.Y.C.,61761,165.81,11.29,0.20
02/06/2022 04:00,NORTH,61755,157.35,2.63,0.00
02/06/2022 04:00,NPX,61845,164.00,9.28,0.00
02/06/2022 04:00,O H,61846,64.90,-12.68,77.13
02/06/2022 04:00,PJM,61847,90.00,-0.62,64.10
02/06/2022 04:00,WEST,61752,145.59,-9.13,0.00
02/06/2022 05:00,CAPITL,61757,166.58,14.01,-12.40
02/06/2022 05:00,CENTRL,61754,141.11,-0.56,-1.50
02/06/2022 05:00,DUNWOD,61760,160.14,11.22,-8.76
02/06/2022 05:00,GENESE,61753,136.94,-4.35,-1.12
