Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
02/17/2022 00:00,CAPITL,61757,52.62,1.47,-34.23
02/17/2022 00:00,CENTRL,61754,21.34,0.29,-4.14
02/17/2022 00:00,DUNWOD,61760,42.14,1.39,-23.84
02/17/2022 00:00,GENESE,61753,20.24,0.19,-3.14
02/17/2022 00:00,H Q,61844,16.37,-0.54,0.00
02/17/2022 00:00,HUD VL,61758,41.84,1.22,-23.71
02/17/2022 00:00,LONGIL,61762,42.59,1.81,-23.86
02/17/2022 00:00,MHK VL,61756,22.53,0.61,-5.00
02/17/2022 00:00,MILLWD,61759,42.35,1.37,-24.07
02/17/2022 00:00,N.Y.C.,61761,42.21,1.44,-23.86
02/17/2022 00:00,NORTH,61755,16.07,-0.85,0.00
02/17/2022 00:00,NPX,61845,46.10,1.10,-28.08
02/17/2022 00:00,O H,61846,11.22,-0.07,5.63
02/17/2022 00:00,PJM,61847,32.42,0.61,-14.90
02/17/2022 00:00,WEST,61752,21.46,0.19,-4.36
02/17/2022 01:00,CAPITL,61757,51.17,1.03,-37.83
02/17/2022 01:00,CENTRL,61754,17.05,0.17,-4.57
02/17/2022 01:00,DUNWOD,61760,39.65,1.00,-26.35
02/17/2022 01:00,GENESE,61753,15.89,0.11,-3.47
02/17/2022 01:00,H Q,61844,11.94,-0.37,0.00
02/17/2022 01:00,HUD VL,61758,39.39,0.87,-26.20
02/17/2022 01:00,LONGIL,61762,39.94,1.26,-26.37
02/17/2022 01:00,MHK VL,61756,18.26,0.42,-5.53
02/17/2022 01:00,MILLWD,61759,39.89,0.99,-26.60
02/17/2022 01:00,N.Y.C.,61761,39.71,1.03,-26.37
02/17/2022 01:00,NORTH,61755,11.72,-0.59,0.00
02/17/2022 01:00,NPX,61845,44.16,0.81,-31.04
02/17/2022 01:00,O H,61846,11.34,-0.09,0.88
02/17/2022 01:00,PJM,61847,29.19,0.42,-16.46
02/17/2022 01:00,WEST,61752,17.22,0.10,-4.82
02/17/2022 02:00,CAPITL,61757,51.22,0.86,-39.89
02/17/2022 02:00,CENTRL,61754,15.44,0.15,-4.82
02/17/2022 02:00,DUNWOD,61760,39.07,0.82,-27.78
02/17/2022 02:00,GENESE,61753,14.20,0.07,-3.65
02/17/2022 02:00,H Q,61844,10.16,-0.31,0.00
02/17/2022 02:00,HUD VL,61758,38.82,0.72,-27.63
02/17/2022 02:00,LONGIL,61762,39.28,1.01,-27.80
02/17/2022 02:00,MHK VL,61756,16.66,0.36,-5.83
02/17/2022 02:00,MILLWD,61759,39.31,0.80,-28.05
02/17/2022 02:00,N.Y.C.,61761,39.11,0.84,-27.80
02/17/2022 02:00,NORTH,61755,9.99,-0.48,0.00
02/17/2022 02:00,NPX,61845,43.88,0.68,-32.73
02/17/2022 02:00,O H,61846,11.13,-0.09,-0.75
02/17/2022 02:00,PJM,61847,28.16,0.33,-17.36
02/17/2022 02:00,WEST,61752,15.60,0.05,-5.08
02/17/2022 03:00,CAPITL,61757,50.94,0.94,-38.53
02/17/2022 03:00,CENTRL,61754,16.28,0.16,-4.66
02/17/2022 03:00,DUNWOD,61760,39.19,0.88,-26.84
02/17/2022 03:00,GENESE,61753,15.08,0.08,-3.53
02/17/2022 03:00,H Q,61844,11.12,-0.34,0.00
02/17/2022 03:00,HUD VL,61758,38.94,0.78,-26.69
02/17/2022 03:00,LONGIL,61762,39.39,1.07,-26.86
02/17/2022 03:00,MHK VL,61756,17.49,0.39,-5.63
02/17/2022 03:00,MILLWD,61759,39.44,0.88,-27.09
02/17/2022 03:00,N.Y.C.,61761,39.23,0.91,-26.86
02/17/2022 03:00,NORTH,61755,10.95,-0.52,0.00
02/17/2022 03:00,NPX,61845,43.83,0.74,-31.62
02/17/2022 03:00,O H,61846,11.32,-0.10,0.04
02/17/2022 03:00,PJM,61847,28.59,0.36,-16.77
02/17/2022 03:00,WEST,61752,16.44,0.07,-4.91
02/17/2022 04:00,CAPITL,61757,48.62,1.26,-31.77
02/17/2022 04:00,CENTRL,61754,19.63,0.20,-3.84
02/17/2022 04:00,DUNWOD,61760,38.90,1.18,-22.13
02/17/2022 04:00,GENESE,61753,18.59,0.09,-2.91
02/17/2022 04:00,H Q,61844,15.13,-0.45,0.00
02/17/2022 04:00,HUD VL,61758,38.64,1.04,-22.01
02/17/2022 04:00,LONGIL,61762,39.23,1.50,-22.15
02/17/2022 04:00,MHK VL,61756,20.75,0.51,-4.65
02/17/2022 04:00,MILLWD,61759,39.07,1.14,-22.34
02/17/2022 04:00,N.Y.C.,61761,38.94,1.20,-22.15
02/17/2022 04:00,NORTH,61755,14.93,-0.65,0.00
02/17/2022 04:00,NPX,61845,42.67,1.01,-26.07
02/17/2022 04:00,O H,61846,11.41,-0.20,3.97
02/17/2022 04:00,PJM,61847,29.85,0.44,-13.83
02/17/2022 04:00,WEST,61752,19.65,0.02,-4.05
02/17/2022 05:00,CAPITL,61757,48.69,1.81,-25.87
02/17/2022 05:00,CENTRL,61754,24.48,0.34,-3.13
02/17/2022 05:00,DUNWOD,61760,40.65,1.62,-18.01
02/17/2022 05:00,GENESE,61753,23.64,0.25,-2.37
02/17/2022 05:00,H Q,61844,20.39,-0.63,0.00
02/17/2022 05:00,HUD VL,61758,40.34,1.41,-17.92
02/17/2022 05:00,LONGIL,61762,41.23,2.19,-18.03
02/17/2022 05:00,MHK VL,61756,25.51,0.71,-3.78
02/17/2022 05:00,MILLWD,61759,40.76,1.56,-18.19
02/17/2022 05:00,N.Y.C.,61761,40.66,1.62,-18.03
02/17/2022 05:00,NORTH,61755,20.09,-0.92,0.00
02/17/2022 05:00,NPX,61845,43.65,1.41,-21.22
02/17/2022 05:00,O H,61846,24.00,-0.15,-3.13
02/17/2022 05:00,PJM,61847,32.92,0.65,-11.26
02/17/2022 05:00,WEST,61752,24.50,0.19,-3.29
02/17/2022 06:00,CAPITL,61757,48.94,2.58,-16.41
02/17/2022 06:00,CENTRL,61754,32.43,0.51,-1.97
02/17/2022 06:00,DUNWOD,61760,43.76,2.46,-11.35
02/17/2022 06:00,GENESE,61753,31.64,0.18,-1.50
02/17/2022 06:00,H Q,61844,29.03,-0.93,0.00
02/17/2022 06:00,HUD VL,61758,43.32,2.10,-11.26
02/17/2022 06:00,LONGIL,61762,48.01,3.47,-14.57
02/17/2022 06:00,MHK VL,61756,33.40,1.20,-2.25
02/17/2022 06:00,MILLWD,61759,43.81,2.40,-11.45
02/17/2022 06:00,N.Y.C.,61761,43.77,2.46,-11.35
02/17/2022 06:00,NORTH,61755,28.61,-1.35,0.00
02/17/2022 06:00,NPX,61845,45.42,2.07,-13.39
02/17/2022 06:00,O H,61846,31.15,-0.78,-1.98
02/17/2022 06:00,PJM,61847,37.92,0.87,-7.09
02/17/2022 06:00,WEST,61752,31.83,-0.21,-2.08
02/17/2022 07:00,CAPITL,61757,57.94,2.33,-28.18
02/17/2022 07:00,CENTRL,61754,31.19,0.47,-3.30
02/17/2022 07:00,DUNWOD,61760,49.42,2.52,-19.47
02/17/2022 07:00,GENESE,61753,30.18,0.19,-2.56
02/17/2022 07:00,H Q,61844,26.42,-0.90,0.10
02/17/2022 07:00,HUD VL,61758,48.95,2.19,-19.33
02/17/2022 07:00,LONGIL,61762,59.41,3.48,-28.50
02/17/2022 07:00,MHK VL,61756,32.30,1.18,-3.69
02/17/2022 07:00,MILLWD,61759,49.55,2.47,-19.65
02/17/2022 07:00,N.Y.C.,61761,49.54,2.63,-19.48
02/17/2022 07:00,NORTH,61755,25.64,-1.40,0.39
02/17/2022 07:00,NPX,61845,55.00,2.03,-25.54
02/17/2022 07:00,O H,61846,30.01,-0.82,-3.40
02/17/2022 07:00,PJM,61847,40.59,0.99,-12.18
02/17/2022 07:00,WEST,61752,30.77,-0.25,-3.59
02/17/2022 08:00,CAPITL,61757,51.98,2.94,-16.42
02/17/2022 08:00,CENTRL,61754,34.87,0.36,-1.89
02/17/2022 08:00,DUNWOD,61760,46.99,3.20,-11.17
02/17/2022 08:00,GENESE,61753,33.93,-0.16,-1.48
02/17/2022 08:00,H Q,61844,30.15,-1.08,1.39
02/17/2022 08:00,HUD VL,61758,46.45,2.74,-11.09
02/17/2022 08:00,LONGIL,61762,57.88,4.31,-20.95
02/17/2022 08:00,MHK VL,61756,35.51,1.24,-1.65
02/17/2022 08:00,MILLWD,61759,47.06,3.16,-11.28
