Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
04/06/2022 00:00,CAPITL,61757,48.92,2.52,-6.42
04/06/2022 00:00,CENTRL,61754,42.40,1.56,-0.86
04/06/2022 00:00,DUNWOD,61760,47.96,3.20,-4.78
04/06/2022 00:00,GENESE,61753,41.76,1.12,-0.66
04/06/2022 00:00,H Q,61844,38.82,-1.16,0.00
04/06/2022 00:00,HUD VL,61758,47.64,2.92,-4.74
04/06/2022 00:00,LONGIL,61762,48.60,3.84,-4.78
04/06/2022 00:00,MHK VL,61756,42.35,1.24,-1.13
04/06/2022 00:00,MILLWD,61759,47.85,3.08,-4.79
04/06/2022 00:00,N.Y.C.,61761,48.16,3.40,-4.78
04/06/2022 00:00,NORTH,61755,38.30,-1.68,0.00
04/06/2022 00:00,NPX,61845,47.94,2.48,-5.48
04/06/2022 00:00,O H,61846,41.53,0.76,-0.79
04/06/2022 00:00,PJM,61847,45.10,2.12,-3.00
04/06/2022 00:00,WEST,61752,42.66,1.84,-0.84
04/06/2022 01:00,CAPITL,61757,45.34,2.47,-2.97
04/06/2022 01:00,CENTRL,61754,41.69,1.40,-0.40
04/06/2022 01:00,DUNWOD,61760,45.22,3.11,-2.21
04/06/2022 01:00,GENESE,61753,41.16,0.96,-0.30
04/06/2022 01:00,H Q,61844,38.82,-1.08,0.00
04/06/2022 01:00,HUD VL,61758,44.92,2.83,-2.19
04/06/2022 01:00,LONGIL,61762,45.65,3.55,-2.21
04/06/2022 01:00,MHK VL,61756,41.58,1.16,-0.52
04/06/2022 01:00,MILLWD,61759,45.10,2.99,-2.21
04/06/2022 01:00,N.Y.C.,61761,45.38,3.27,-2.21
04/06/2022 01:00,NORTH,61755,38.30,-1.60,0.00
04/06/2022 01:00,NPX,61845,44.94,2.51,-2.53
04/06/2022 01:00,O H,61846,40.86,0.60,-0.36
04/06/2022 01:00,PJM,61847,43.31,2.03,-1.39
04/06/2022 01:00,WEST,61752,41.96,1.68,-0.39
04/06/2022 02:00,CAPITL,61757,44.89,2.47,-2.52
04/06/2022 02:00,CENTRL,61754,41.63,1.40,-0.34
04/06/2022 02:00,DUNWOD,61760,44.88,3.11,-1.87
04/06/2022 02:00,GENESE,61753,41.03,0.88,-0.26
04/06/2022 02:00,H Q,61844,38.82,-1.08,0.00
04/06/2022 02:00,HUD VL,61758,44.59,2.83,-1.86
04/06/2022 02:00,LONGIL,61762,45.24,3.47,-1.87
04/06/2022 02:00,MHK VL,61756,41.50,1.16,-0.44
04/06/2022 02:00,MILLWD,61759,44.77,2.99,-1.88
04/06/2022 02:00,N.Y.C.,61761,45.00,3.23,-1.87
04/06/2022 02:00,NORTH,61755,38.30,-1.60,0.00
04/06/2022 02:00,NPX,61845,44.56,2.51,-2.15
04/06/2022 02:00,O H,61846,40.72,0.52,-0.31
04/06/2022 02:00,PJM,61847,43.07,1.99,-1.18
04/06/2022 02:00,WEST,61752,41.78,1.55,-0.33
04/06/2022 03:00,CAPITL,61757,44.58,2.51,-2.21
04/06/2022 03:00,CENTRL,61754,41.43,1.28,-0.30
04/06/2022 03:00,DUNWOD,61760,44.57,3.07,-1.65
04/06/2022 03:00,GENESE,61753,40.92,0.84,-0.23
04/06/2022 03:00,H Q,61844,38.82,-1.04,0.00
04/06/2022 03:00,HUD VL,61758,44.32,2.83,-1.64
04/06/2022 03:00,LONGIL,61762,44.97,3.47,-1.65
04/06/2022 03:00,MHK VL,61756,41.36,1.11,-0.39
04/06/2022 03:00,MILLWD,61759,44.50,2.99,-1.65
04/06/2022 03:00,N.Y.C.,61761,44.73,3.23,-1.65
04/06/2022 03:00,NORTH,61755,38.30,-1.56,0.00
04/06/2022 03:00,NPX,61845,44.26,2.51,-1.89
04/06/2022 03:00,O H,61846,40.61,0.48,-0.27
04/06/2022 03:00,PJM,61847,42.84,1.95,-1.03
04/06/2022 03:00,WEST,61752,41.70,1.55,-0.29
04/06/2022 04:00,CAPITL,61757,45.30,2.59,-2.85
04/06/2022 04:00,CENTRL,61754,41.55,1.31,-0.38
04/06/2022 04:00,DUNWOD,61760,45.01,3.03,-2.12
04/06/2022 04:00,GENESE,61753,40.99,0.84,-0.29
04/06/2022 04:00,H Q,61844,38.82,-1.04,0.00
04/06/2022 04:00,HUD VL,61758,44.75,2.79,-2.11
04/06/2022 04:00,LONGIL,61762,45.57,3.59,-2.12
04/06/2022 04:00,MHK VL,61756,41.47,1.11,-0.50
04/06/2022 04:00,MILLWD,61759,44.89,2.91,-2.13
04/06/2022 04:00,N.Y.C.,61761,45.09,3.11,-2.12
04/06/2022 04:00,NORTH,61755,38.30,-1.56,0.00
04/06/2022 04:00,NPX,61845,44.80,2.51,-2.43
04/06/2022 04:00,O H,61846,40.72,0.52,-0.35
04/06/2022 04:00,PJM,61847,43.10,1.91,-1.33
04/06/2022 04:00,WEST,61752,41.83,1.60,-0.37
04/06/2022 05:00,CAPITL,61757,49.46,2.96,-6.43
