Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
04/30/2022 00:00,CAPITL,61757,78.12,0.28,-71.81
04/30/2022 00:00,CENTRL,61754,18.14,0.19,-11.91
04/30/2022 00:00,DUNWOD,61760,59.99,0.39,-53.56
04/30/2022 00:00,GENESE,61753,14.98,0.19,-8.75
04/30/2022 00:00,H Q,61844,5.96,-0.07,0.00
04/30/2022 00:00,HUD VL,61758,59.20,0.35,-52.81
04/30/2022 00:00,LONGIL,61762,73.01,0.57,-66.40
04/30/2022 00:00,MHK VL,61756,20.05,0.18,-13.84
04/30/2022 00:00,MILLWD,61759,60.33,0.38,-53.92
04/30/2022 00:00,N.Y.C.,61761,60.06,0.44,-53.59
04/30/2022 00:00,NORTH,61755,6.02,-0.02,0.00
04/30/2022 00:00,NPX,61845,64.39,0.19,-58.16
04/30/2022 00:00,O H,61846,16.72,0.24,-10.44
04/30/2022 00:00,PJM,61847,38.38,0.36,-31.98
04/30/2022 00:00,WEST,61752,17.74,0.42,-11.28
04/30/2022 01:00,CAPITL,61757,76.91,0.22,-71.60
04/30/2022 01:00,CENTRL,61754,17.15,0.16,-11.90
04/30/2022 01:00,DUNWOD,61760,58.95,0.31,-53.54
04/30/2022 01:00,GENESE,61753,14.01,0.18,-8.74
04/30/2022 01:00,H Q,61844,5.03,-0.06,0.00
04/30/2022 01:00,HUD VL,61758,58.16,0.28,-52.78
04/30/2022 01:00,LONGIL,61762,65.64,0.46,-60.09
04/30/2022 01:00,MHK VL,61756,19.05,0.14,-13.82
04/30/2022 01:00,MILLWD,61759,59.30,0.31,-53.90
04/30/2022 01:00,N.Y.C.,61761,59.01,0.35,-53.57
04/30/2022 01:00,NORTH,61755,5.07,-0.02,0.00
04/30/2022 01:00,NPX,61845,62.93,0.14,-57.70
04/30/2022 01:00,O H,61846,15.74,0.22,-10.43
04/30/2022 01:00,PJM,61847,37.36,0.31,-31.97
04/30/2022 01:00,WEST,61752,16.73,0.37,-11.26
04/30/2022 02:00,CAPITL,61757,76.13,0.18,-71.60
04/30/2022 02:00,CENTRL,61754,16.37,0.13,-11.90
04/30/2022 02:00,DUNWOD,61760,58.12,0.24,-53.53
04/30/2022 02:00,GENESE,61753,13.24,0.15,-8.74
04/30/2022 02:00,H Q,61844,4.29,-0.05,0.00
04/30/2022 02:00,HUD VL,61758,57.34,0.23,-52.77
04/30/2022 02:00,LONGIL,61762,61.62,0.38,-56.90
04/30/2022 02:00,MHK VL,61756,18.29,0.13,-13.82
04/30/2022 02:00,MILLWD,61759,58.47,0.24,-53.88
