Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
04/18/2022 00:00,CAPITL,61757,67.45,1.62,-40.82
04/18/2022 00:00,CENTRL,61754,31.37,0.70,-5.67
04/18/2022 00:00,DUNWOD,61760,58.40,2.35,-31.05
04/18/2022 00:00,GENESE,61753,29.60,0.47,-4.12
04/18/2022 00:00,H Q,61844,24.48,-0.53,0.00
04/18/2022 00:00,HUD VL,61758,58.13,2.12,-31.00
04/18/2022 00:00,LONGIL,61762,62.47,3.13,-34.33
04/18/2022 00:00,MHK VL,61756,33.32,0.85,-7.46
04/18/2022 00:00,MILLWD,61759,58.52,2.28,-31.24
04/18/2022 00:00,N.Y.C.,61761,58.52,2.45,-31.06
04/18/2022 00:00,NORTH,61755,24.46,-0.55,0.00
04/18/2022 00:00,NPX,61845,61.74,1.48,-35.26
04/18/2022 00:00,O H,61846,23.00,0.28,2.28
04/18/2022 00:00,PJM,61847,46.08,1.53,-19.55
04/18/2022 00:00,WEST,61752,31.29,0.95,-5.33
04/18/2022 01:00,CAPITL,61757,64.77,1.61,-39.10
04/18/2022 01:00,CENTRL,61754,30.09,0.60,-5.43
04/18/2022 01:00,DUNWOD,61760,55.94,2.14,-29.74
04/18/2022 01:00,GENESE,61753,28.39,0.38,-3.95
04/18/2022 01:00,H Q,61844,23.60,-0.46,0.00
04/18/2022 01:00,HUD VL,61758,55.70,1.95,-29.69
04/18/2022 01:00,LONGIL,61762,59.81,2.93,-32.82
04/18/2022 01:00,MHK VL,61756,32.00,0.79,-7.15
04/18/2022 01:00,MILLWD,61759,56.07,2.09,-29.92
04/18/2022 01:00,N.Y.C.,61761,56.05,2.24,-29.75
04/18/2022 01:00,NORTH,61755,23.63,-0.43,0.00
04/18/2022 01:00,NPX,61845,59.30,1.47,-33.77
04/18/2022 01:00,O H,61846,22.00,0.17,2.23
04/18/2022 01:00,PJM,61847,44.16,1.37,-18.73
04/18/2022 01:00,WEST,61752,29.96,0.79,-5.10
04/18/2022 02:00,CAPITL,61757,62.82,1.61,-36.77
04/18/2022 02:00,CENTRL,61754,30.23,0.66,-5.13
04/18/2022 02:00,DUNWOD,61760,54.66,2.25,-27.97
04/18/2022 02:00,GENESE,61753,28.57,0.42,-3.71
04/18/2022 02:00,H Q,61844,23.95,-0.49,0.00
04/18/2022 02:00,HUD VL,61758,54.40,2.03,-27.93
04/18/2022 02:00,LONGIL,61762,55.46,3.03,-27.99
04/18/2022 02:00,MHK VL,61756,31.98,0.83,-6.71
04/18/2022 02:00,MILLWD,61759,54.76,2.17,-28.15
04/18/2022 02:00,N.Y.C.,61761,54.75,2.32,-27.98
04/18/2022 02:00,NORTH,61755,24.00,-0.44,0.00
04/18/2022 02:00,NPX,61845,57.70,1.49,-31.77
04/18/2022 02:00,O H,61846,20.00,0.24,4.68
04/18/2022 02:00,PJM,61847,42.40,1.42,-16.55
04/18/2022 02:00,WEST,61752,30.10,0.85,-4.80
04/18/2022 03:00,CAPITL,61757,62.27,1.68,-35.56
04/18/2022 03:00,CENTRL,61754,30.80,0.80,-4.97
04/18/2022 03:00,DUNWOD,61760,54.36,2.28,-27.05
04/18/2022 03:00,GENESE,61753,29.15,0.53,-3.59
04/18/2022 03:00,H Q,61844,24.48,-0.55,0.00
04/18/2022 03:00,HUD VL,61758,54.12,2.08,-27.02
04/18/2022 03:00,LONGIL,61762,55.13,3.03,-27.07
04/18/2022 03:00,MHK VL,61756,32.42,0.90,-6.49
04/18/2022 03:00,MILLWD,61759,54.51,2.25,-27.22
04/18/2022 03:00,N.Y.C.,61761,54.48,2.38,-27.07
04/18/2022 03:00,NORTH,61755,24.53,-0.50,0.00
04/18/2022 03:00,NPX,61845,57.29,1.53,-30.73
04/18/2022 03:00,O H,61846,18.92,0.35,6.46
04/18/2022 03:00,PJM,61847,42.54,1.50,-16.00
04/18/2022 03:00,WEST,61752,30.68,1.00,-4.64
04/18/2022 04:00,CAPITL,61757,63.95,1.73,-37.20
04/18/2022 04:00,CENTRL,61754,31.03,0.80,-5.19
04/18/2022 04:00,DUNWOD,61760,55.58,2.25,-28.30
04/18/2022 04:00,GENESE,61753,29.31,0.53,-3.76
04/18/2022 04:00,H Q,61844,24.48,-0.55,0.00
04/18/2022 04:00,HUD VL,61758,55.35,2.05,-28.26
04/18/2022 04:00,LONGIL,61762,56.33,2.98,-28.32
04/18/2022 04:00,MHK VL,61756,32.75,0.93,-6.79
04/18/2022 04:00,MILLWD,61759,55.68,2.18,-28.48
04/18/2022 04:00,N.Y.C.,61761,55.67,2.33,-28.31
04/18/2022 04:00,NORTH,61755,24.55,-0.48,0.00
04/18/2022 04:00,NPX,61845,58.70,1.53,-32.14
04/18/2022 04:00,O H,61846,20.80,0.32,4.56
04/18/2022 04:00,PJM,61847,43.25,1.48,-16.74
04/18/2022 04:00,WEST,61752,30.86,0.98,-4.86
04/18/2022 05:00,CAPITL,61757,62.74,2.65,-20.01
04/18/2022 05:00,CENTRL,61754,44.20,1.32,-2.79
04/18/2022 05:00,DUNWOD,61760,58.99,3.69,-15.22
04/18/2022 05:00,GENESE,61753,42.87,0.76,-2.02
04/18/2022 05:00,H Q,61844,39.20,-0.88,0.00
04/18/2022 05:00,HUD VL,61758,58.65,3.37,-15.20
04/18/2022 05:00,LONGIL,61762,60.25,4.93,-15.23
04/18/2022 05:00,MHK VL,61756,45.22,1.48,-3.65
04/18/2022 05:00,MILLWD,61759,58.93,3.53,-15.32
04/18/2022 05:00,N.Y.C.,61761,59.04,3.73,-15.23
04/18/2022 05:00,NORTH,61755,39.24,-0.84,0.00
04/18/2022 05:00,NPX,61845,59.90,2.53,-17.29
04/18/2022 05:00,O H,61846,42.84,0.32,-2.44
04/18/2022 05:00,PJM,61847,51.41,2.32,-9.00
04/18/2022 05:00,WEST,61752,44.10,1.40,-2.61
04/18/2022 06:00,CAPITL,61757,76.51,3.05,-28.63
04/18/2022 06:00,CENTRL,61754,50.14,1.39,-3.92
04/18/2022 06:00,DUNWOD,61760,70.54,4.40,-21.32
04/18/2022 06:00,GENESE,61753,48.03,0.36,-2.84
04/18/2022 06:00,H Q,61844,44.32,-0.90,-0.39
04/18/2022 06:00,HUD VL,61758,70.00,3.95,-21.23
04/18/2022 06:00,LONGIL,61762,71.49,5.33,-21.33
04/18/2022 06:00,MHK VL,61756,51.55,1.84,-4.88
04/18/2022 06:00,MILLWD,61759,70.47,4.21,-21.43
04/18/2022 06:00,N.Y.C.,61761,70.68,4.53,-21.33
04/18/2022 06:00,NORTH,61755,44.24,-0.58,0.00
04/18/2022 06:00,NPX,61845,72.49,2.96,-24.71
04/18/2022 06:00,O H,61846,48.06,-0.58,-3.82
04/18/2022 06:00,PJM,61847,60.43,2.60,-13.01
04/18/2022 06:00,WEST,61752,49.23,0.72,-3.68
04/18/2022 07:00,CAPITL,61757,89.33,3.17,-40.22
04/18/2022 07:00,CENTRL,61754,53.46,1.88,-5.63
04/18/2022 07:00,DUNWOD,61760,80.76,4.78,-30.03
04/18/2022 07:00,GENESE,61753,51.63,1.10,-4.58
04/18/2022 07:00,H Q,61844,44.32,-1.24,0.39
04/18/2022 07:00,HUD VL,61758,80.07,4.22,-29.90
04/18/2022 07:00,LONGIL,61762,81.65,5.65,-30.05
04/18/2022 07:00,MHK VL,61756,55.33,2.39,-7.00
04/18/2022 07:00,MILLWD,61759,80.78,4.64,-30.19
04/18/2022 07:00,N.Y.C.,61761,80.96,4.96,-30.05
04/18/2022 07:00,NORTH,61755,44.89,-1.05,0.00
04/18/2022 07:00,NPX,61845,82.71,2.98,-33.78
04/18/2022 07:00,O H,61846,51.02,0.09,-4.98
04/18/2022 07:00,PJM,61847,66.56,3.03,-17.58
04/18/2022 07:00,WEST,61752,53.09,1.47,-5.67
04/18/2022 08:00,CAPITL,61757,91.08,3.32,-42.25
04/18/2022 08:00,CENTRL,61754,53.58,1.64,-6.44
04/18/2022 08:00,DUNWOD,61760,86.84,4.92,-36.42
04/18/2022 08:00,GENESE,61753,51.74,1.00,-5.24
04/18/2022 08:00,H Q,61844,44.32,-1.18,0.00
04/18/2022 08:00,HUD VL,61758,85.63,4.33,-35.81
04/18/2022 08:00,LONGIL,61762,86.96,5.01,-36.45
04/18/2022 08:00,MHK VL,61756,55.55,2.05,-8.00
04/18/2022 08:00,MILLWD,61759,86.85,4.78,-36.57
04/18/2022 08:00,N.Y.C.,61761,86.94,5.19,-36.25
04/18/2022 08:00,NORTH,61755,44.28,-1.23,0.00
04/18/2022 08:00,NPX,61845,74.81,3.14,-26.17
04/18/2022 08:00,O H,61846,51.55,-0.09,-6.14
04/18/2022 08:00,PJM,61847,69.50,2.82,-21.18
04/18/2022 08:00,WEST,61752,53.26,1.27,-6.49
04/18/2022 09:00,CAPITL,61757,76.01,3.14,-28.69
04/18/2022 09:00,CENTRL,61754,49.46,1.15,-4.13
04/18/2022 09:00,DUNWOD,61760,71.26,4.64,-22.44
04/18/2022 09:00,GENESE,61753,47.72,0.18,-3.36
04/18/2022 09:00,H Q,61844,43.21,-0.97,0.00
04/18/2022 09:00,HUD VL,61758,70.55,4.11,-22.26
04/18/2022 09:00,LONGIL,61762,72.07,5.43,-22.45
04/18/2022 09:00,MHK VL,61756,51.08,1.77,-5.13
04/18/2022 09:00,MILLWD,61759,71.19,4.46,-22.55
04/18/2022 09:00,N.Y.C.,61761,71.58,4.95,-22.45
04/18/2022 09:00,NORTH,61755,43.08,-1.10,0.00
04/18/2022 09:00,NPX,61845,69.60,3.01,-22.41
04/18/2022 09:00,O H,61846,47.15,-0.97,-3.93
04/18/2022 09:00,PJM,61847,59.87,2.30,-13.39
04/18/2022 09:00,WEST,61752,48.65,0.31,-4.16
04/18/2022 10:00,CAPITL,61757,74.49,3.00,-27.33
04/18/2022 10:00,CENTRL,61754,49.19,0.97,-4.06
04/18/2022 10:00,DUNWOD,61760,71.44,4.73,-22.55
04/18/2022 10:00,GENESE,61753,47.20,-0.26,-3.30
04/18/2022 10:00,H Q,61844,43.19,-0.97,0.00
04/18/2022 10:00,HUD VL,61758,70.64,4.20,-22.28
04/18/2022 10:00,LONGIL,61762,72.07,5.34,-22.57
04/18/2022 10:00,MHK VL,61756,50.93,1.72,-5.04
04/18/2022 10:00,MILLWD,61759,71.32,4.51,-22.65
04/18/2022 10:00,N.Y.C.,61761,71.74,5.03,-22.54
04/18/2022 10:00,NORTH,61755,43.06,-1.10,0.00
04/18/2022 10:00,NPX,61845,66.25,3.04,-19.04
04/18/2022 10:00,O H,61846,46.53,-1.50,-3.87
04/18/2022 10:00,PJM,61847,59.62,2.08,-13.38
04/18/2022 10:00,WEST,61752,47.95,-0.31,-4.09
04/18/2022 11:00,CAPITL,61757,77.38,2.26,-41.39
04/18/2022 11:00,CENTRL,61754,40.49,0.67,-6.08
04/18/2022 11:00,DUNWOD,61760,70.92,3.64,-33.54
04/18/2022 11:00,GENESE,61753,38.62,-0.07,-4.95
04/18/2022 11:00,H Q,61844,33.03,-0.71,0.00
04/18/2022 11:00,HUD VL,61758,70.19,3.27,-33.18
04/18/2022 11:00,LONGIL,61762,71.55,4.25,-33.56
04/18/2022 11:00,MHK VL,61756,42.57,1.28,-7.56
04/18/2022 11:00,MILLWD,61759,70.90,3.48,-33.69
04/18/2022 11:00,N.Y.C.,61761,71.03,3.91,-33.39
04/18/2022 11:00,NORTH,61755,32.99,-0.74,0.00
04/18/2022 11:00,NPX,61845,66.10,2.33,-30.04
04/18/2022 11:00,O H,61846,38.59,-0.94,-5.79
04/18/2022 11:00,PJM,61847,54.99,1.65,-19.60
04/18/2022 11:00,WEST,61752,39.79,-0.07,-6.13
04/18/2022 12:00,CAPITL,61757,76.38,2.01,-43.83
04/18/2022 12:00,CENTRL,61754,37.59,0.70,-6.36
04/18/2022 12:00,DUNWOD,61760,68.65,3.33,-34.79
04/18/2022 12:00,GENESE,61753,35.83,0.12,-5.18
04/18/2022 12:00,H Q,61844,29.86,-0.67,0.00
04/18/2022 12:00,HUD VL,61758,67.97,2.96,-34.48
04/18/2022 12:00,LONGIL,61762,68.95,3.60,-34.81
04/18/2022 12:00,MHK VL,61756,39.60,1.16,-7.91
04/18/2022 12:00,MILLWD,61759,68.66,3.18,-34.96
04/18/2022 12:00,N.Y.C.,61761,68.76,3.60,-34.63
04/18/2022 12:00,NORTH,61755,29.77,-0.76,0.00
04/18/2022 12:00,NPX,61845,65.90,2.14,-33.23
04/18/2022 12:00,O H,61846,35.95,-0.64,-6.06
04/18/2022 12:00,PJM,61847,52.50,1.62,-20.35
04/18/2022 12:00,WEST,61752,37.09,0.15,-6.41
04/18/2022 13:00,CAPITL,61757,75.85,2.02,-43.27
04/18/2022 13:00,CENTRL,61754,37.43,0.73,-6.13
04/18/2022 13:00,DUNWOD,61760,68.92,3.36,-35.00
04/18/2022 13:00,GENESE,61753,35.80,0.15,-5.09
04/18/2022 13:00,H Q,61844,29.89,-0.67,0.00
04/18/2022 13:00,HUD VL,61758,68.12,2.96,-34.59
04/18/2022 13:00,LONGIL,61762,69.28,3.70,-35.02
04/18/2022 13:00,MHK VL,61756,39.16,1.10,-7.50
04/18/2022 13:00,MILLWD,61759,68.89,3.18,-35.15
04/18/2022 13:00,N.Y.C.,61761,68.97,3.57,-34.84
04/18/2022 13:00,NORTH,61755,29.83,-0.73,0.00
04/18/2022 13:00,NPX,61845,64.57,2.14,-31.87
04/18/2022 13:00,O H,61846,35.98,-0.58,-6.00
04/18/2022 13:00,PJM,61847,52.59,1.62,-20.41
04/18/2022 13:00,WEST,61752,37.09,0.18,-6.34
04/18/2022 14:00,CAPITL,61757,76.25,1.78,-46.76
04/18/2022 14:00,CENTRL,61754,35.06,0.72,-6.62
04/18/2022 14:00,DUNWOD,61760,68.50,3.05,-37.73
04/18/2022 14:00,GENESE,61753,33.32,0.11,-5.49
04/18/2022 14:00,H Q,61844,27.08,-0.64,0.00
04/18/2022 14:00,HUD VL,61758,67.74,2.72,-37.30
04/18/2022 14:00,LONGIL,61762,69.00,3.52,-37.76
04/18/2022 14:00,MHK VL,61756,36.84,1.03,-8.10
04/18/2022 14:00,MILLWD,61759,68.50,2.88,-37.90
04/18/2022 14:00,N.Y.C.,61761,68.59,3.27,-37.60
04/18/2022 14:00,NORTH,61755,27.00,-0.72,0.00
04/18/2022 14:00,NPX,61845,64.26,1.94,-34.60
04/18/2022 14:00,O H,61846,33.66,-0.53,-6.47
04/18/2022 14:00,PJM,61847,51.29,1.47,-22.10
04/18/2022 14:00,WEST,61752,34.73,0.17,-6.84
04/18/2022 15:00,CAPITL,61757,78.72,1.73,-50.76
04/18/2022 15:00,CENTRL,61754,34.18,0.79,-7.17
04/18/2022 15:00,DUNWOD,61760,69.92,2.91,-40.78
04/18/2022 15:00,GENESE,61753,32.41,0.24,-5.94
04/18/2022 15:00,H Q,61844,25.60,-0.63,0.00
04/18/2022 15:00,HUD VL,61758,69.10,2.54,-40.33
04/18/2022 15:00,LONGIL,61762,70.51,3.46,-40.81
04/18/2022 15:00,MHK VL,61756,35.97,0.97,-8.77
04/18/2022 15:00,MILLWD,61759,69.95,2.75,-40.97
04/18/2022 15:00,N.Y.C.,61761,70.13,3.09,-40.81
04/18/2022 15:00,NORTH,61755,25.42,-0.81,0.00
04/18/2022 15:00,NPX,61845,66.00,1.86,-37.91
04/18/2022 15:00,O H,61846,32.89,-0.34,-7.01
04/18/2022 15:00,PJM,61847,51.97,1.49,-24.25
04/18/2022 15:00,WEST,61752,33.95,0.32,-7.41
04/18/2022 16:00,CAPITL,61757,86.92,1.68,-60.16
04/18/2022 16:00,CENTRL,61754,34.43,0.80,-8.55
04/18/2022 16:00,DUNWOD,61760,76.69,2.76,-48.85
04/18/2022 16:00,GENESE,61753,32.47,0.30,-7.09
04/18/2022 16:00,H Q,61844,24.48,-0.60,0.00
04/18/2022 16:00,HUD VL,61758,75.76,2.41,-48.27
04/18/2022 16:00,LONGIL,61762,77.23,3.26,-48.88
04/18/2022 16:00,MHK VL,61756,36.49,0.95,-10.46
04/18/2022 16:00,MILLWD,61759,76.76,2.61,-49.07
04/18/2022 16:00,N.Y.C.,61761,76.86,2.91,-48.87
04/18/2022 16:00,NORTH,61755,24.28,-0.80,0.00
04/18/2022 16:00,NPX,61845,70.80,1.78,-43.94
04/18/2022 16:00,O H,61846,33.19,-0.25,-8.36
04/18/2022 16:00,PJM,61847,55.51,1.40,-29.02
04/18/2022 16:00,WEST,61752,34.24,0.33,-8.84
04/18/2022 17:00,CAPITL,61757,91.91,1.92,-62.97
04/18/2022 17:00,CENTRL,61754,36.87,0.97,-8.87
