Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
04/20/2022 00:00,CAPITL,61757,99.78,0.10,-97.62
04/20/2022 00:00,CENTRL,61754,15.74,0.09,-13.59
04/20/2022 00:00,DUNWOD,61760,74.96,0.14,-72.76
04/20/2022 00:00,GENESE,61753,13.28,0.14,-11.07
04/20/2022 00:00,H Q,61844,2.03,-0.04,0.00
04/20/2022 00:00,HUD VL,61758,74.38,0.13,-72.19
04/20/2022 00:00,LONGIL,61762,75.04,0.19,-72.79
04/20/2022 00:00,MHK VL,61756,18.86,0.08,-16.72
04/20/2022 00:00,MILLWD,61759,75.17,0.14,-72.97
04/20/2022 00:00,N.Y.C.,61761,75.00,0.16,-72.78
04/20/2022 00:00,NORTH,61755,1.99,-0.07,0.00
04/20/2022 00:00,NPX,61845,85.70,0.08,-83.56
04/20/2022 00:00,O H,61846,15.18,0.15,-12.97
04/20/2022 00:00,PJM,61847,48.41,0.15,-46.20
04/20/2022 00:00,WEST,61752,15.90,0.19,-13.65
04/20/2022 01:00,CAPITL,61757,93.44,0.10,-91.27
04/20/2022 01:00,CENTRL,61754,14.87,0.09,-12.71
04/20/2022 01:00,DUNWOD,61760,70.24,0.14,-68.02
04/20/2022 01:00,GENESE,61753,12.58,0.16,-10.35
04/20/2022 01:00,H Q,61844,2.03,-0.04,0.00
04/20/2022 01:00,HUD VL,61758,69.69,0.13,-67.49
04/20/2022 01:00,LONGIL,61762,70.31,0.18,-68.06
04/20/2022 01:00,MHK VL,61756,17.78,0.08,-15.64
04/20/2022 01:00,MILLWD,61759,70.43,0.14,-68.22
04/20/2022 01:00,N.Y.C.,61761,70.00,0.16,-67.78
04/20/2022 01:00,NORTH,61755,1.99,-0.08,0.00
04/20/2022 01:00,NPX,61845,79.48,0.08,-77.33
04/20/2022 01:00,O H,61846,14.37,0.17,-12.13
04/20/2022 01:00,PJM,61847,44.95,0.16,-42.73
04/20/2022 01:00,WEST,61752,15.04,0.21,-12.76
04/20/2022 02:00,CAPITL,61757,90.70,0.04,-89.89
04/20/2022 02:00,CENTRL,61754,13.32,0.03,-12.51
04/20/2022 02:00,DUNWOD,61760,67.83,0.05,-67.00
04/20/2022 02:00,GENESE,61753,11.03,0.06,-10.20
04/20/2022 02:00,H Q,61844,0.76,-0.01,0.00
04/20/2022 02:00,HUD VL,61758,67.30,0.05,-66.47
04/20/2022 02:00,LONGIL,61762,67.87,0.07,-67.03
04/20/2022 02:00,MHK VL,61756,16.20,0.03,-15.40
04/20/2022 02:00,MILLWD,61759,68.02,0.05,-67.19
04/20/2022 02:00,N.Y.C.,61761,67.65,0.06,-66.82
04/20/2022 02:00,NORTH,61755,0.74,-0.03,0.00
04/20/2022 02:00,NPX,61845,77.88,0.03,-77.07
04/20/2022 02:00,O H,61846,12.79,0.07,-11.95
04/20/2022 02:00,PJM,61847,43.03,0.06,-42.20
04/20/2022 02:00,WEST,61752,13.42,0.08,-12.57
04/20/2022 03:00,CAPITL,61757,87.96,0.18,-84.30
