Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
04/27/2022 00:00,CAPITL,61757,75.99,0.01,-75.71
04/27/2022 00:00,CENTRL,61754,14.14,0.01,-13.87
04/27/2022 00:00,DUNWOD,61760,55.34,0.02,-55.06
04/27/2022 00:00,GENESE,61753,20.13,0.01,-19.86
04/27/2022 00:00,H Q,61844,0.26,0.00,0.00
04/27/2022 00:00,HUD VL,61758,54.63,0.02,-54.35
04/27/2022 00:00,LONGIL,61762,68.61,0.03,-68.31
04/27/2022 00:00,MHK VL,61756,14.28,0.01,-14.01
04/27/2022 00:00,MILLWD,61759,55.73,0.02,-55.45
04/27/2022 00:00,N.Y.C.,61761,55.37,0.02,-55.08
04/27/2022 00:00,NORTH,61755,0.26,0.00,0.00
04/27/2022 00:00,NPX,61845,65.00,0.01,-64.72
04/27/2022 00:00,O H,61846,21.00,0.01,-20.73
04/27/2022 00:00,PJM,61847,37.97,0.02,-37.69
04/27/2022 00:00,WEST,61752,22.68,0.02,-22.40
04/27/2022 01:00,CAPITL,61757,73.46,0.01,-73.18
04/27/2022 01:00,CENTRL,61754,13.53,0.01,-13.26
04/27/2022 01:00,DUNWOD,61760,53.50,0.02,-53.22
04/27/2022 01:00,GENESE,61753,18.52,0.01,-18.25
04/27/2022 01:00,H Q,61844,0.26,0.00,0.00
04/27/2022 01:00,HUD VL,61758,52.81,0.02,-52.53
04/27/2022 01:00,LONGIL,61762,65.98,0.03,-65.69
04/27/2022 01:00,MHK VL,61756,13.81,0.01,-13.54
04/27/2022 01:00,MILLWD,61759,53.88,0.02,-53.60
04/27/2022 01:00,N.Y.C.,61761,53.53,0.02,-53.25
04/27/2022 01:00,NORTH,61755,0.26,0.00,0.00
04/27/2022 01:00,NPX,61845,62.84,0.01,-62.56
04/27/2022 01:00,O H,61846,20.47,0.01,-20.20
04/27/2022 01:00,PJM,61847,36.32,0.02,-36.04
04/27/2022 01:00,WEST,61752,21.05,0.02,-20.76
04/27/2022 02:00,CAPITL,61757,71.85,0.01,-71.57
04/27/2022 02:00,CENTRL,61754,13.18,0.01,-12.91
04/27/2022 02:00,DUNWOD,61760,52.33,0.02,-52.05
04/27/2022 02:00,GENESE,61753,17.73,0.01,-17.46
04/27/2022 02:00,H Q,61844,0.26,0.00,0.00
